mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,mean_Relative_gamma,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp1_Relative_gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,Fp2_Relative_gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F7_Relative_gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F3_Relative_gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F4_Relative_gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,F8_Relative_gamma,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,T3_Relative_gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C3_Relative_gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,C4_Relative_gamma,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T4_Relative_gamma,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,T5_Relative_gamma,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P3_Relative_gamma,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,P4_Relative_gamma,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,T6_Relative_gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O1_Relative_gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,O2_Relative_gamma,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-105.82484666591958,-112.1465190870897,-109.91140363885822,-119.23492275838206,-120.56278142789475,-111.49276949745985,-118.359109808409,0.9247693871772573,-103.28724018684011,-109.08714988972537,-108.24595498114229,-119.30368903926737,-119.74784911810045,-109.48927136354345,-118.58878912185378,0.9143318411970844,-106.75044605869039,-111.51707187202517,-108.8637180660383,-119.48398206258753,-120.06818918149862,-110.63505530610166,-118.83929955499005,0.9214351949529483,-102.07462332153264,-111.89609285159754,-108.7005399089478,-118.86478882871802,-119.97192148364739,-110.64327124977213,-118.39455326945722,0.9222430538870148,-110.11921821209381,-113.60551081219559,-110.1261727753936,-119.37166796198801,-120.10603217421577,-112.23964580735347,-119.31844284409355,0.9345046520606727,-97.6022792757211,-112.88669666323044,-113.262029985121,-123.14123943498367,-125.88345216571135,-113.97773027413261,-123.56003944996735,0.905422661304949,-107.55612909842071,-111.74255530272531,-109.53864155330615,-119.14886992317709,-119.78423438585654,-110.93464407618005,-117.98850273520276,0.926120575424228,-108.83572644721248,-112.83783734997446,-109.01374888135145,-118.69106987451993,-120.02369354343521,-111.18036551598958,-118.34384161460488,0.9263201475778169,-108.39196031442543,-114.45779233313165,-111.57814827362047,-119.17502154846827,-119.8670010660875,-113.25919084678527,-118.44179165421497,0.9448738171428926,-100.98727874258762,-110.92896272253923,-113.28657201709983,-119.92049896784283,-121.32758277537287,-112.903107233,-118.53765039452666,0.9305642183775306,-108.97347945449143,-113.34013922284252,-111.03216430160396,-118.61243703288667,-119.46549824812078,-112.22089659999382,-117.87149307141681,0.9393582100743391,-99.93710247097215,-107.45593836465169,-105.47423492252697,-116.73630048059418,-119.5430662238572,-106.75784265689984,-113.7295935081246,0.8930492250967057,-111.55346762259333,-115.6927154527167,-110.68200869841726,-119.08182810631659,-119.62027319153043,-113.3402400478886,-119.03783249926373,0.9475002608162704,-105.09866774436152,-111.29425969937991,-114.8187578192562,-121.15746811679055,-124.7405823199675,-113.72930950647009,-118.48256062699447,0.9117266200886188,-107.63708312335497,-112.36726160305706,-106.97756567873918,-117.68682726789156,-119.51169384563082,-110.03023035073623,-117.25202605446121,0.9206649726917814,-101.07874667037493,-108.68498739479344,-104.64776025268473,-117.77375386187288,-119.67092056088538,-107.78525268604888,-115.76142958007028,0.9006804007261782,-113.31409791104076,-116.54933385884901,-112.33444010648232,-119.6093216262074,-119.67251256239858,-114.75825843846181,-119.59791095530184,0.9589358155961301,0.014037702846328146,0.009172701237919897,0.023210404084248043,0.015543797290860141,-0.0003313597959760984,0.015212437494884042,4,0
-108.0195961023731,-113.61648801300959,-111.6578800069384,-119.06924987066814,-120.80969815510016,-113.25500025170103,-118.55165655752778,0.9374661304616446,-102.96793241991122,-112.06106238553627,-109.99352027723458,-118.75412534339915,-119.94520415035828,-111.76595843430808,-117.78929802765933,0.9318084805975482,-109.4793544353724,-114.88373803403721,-110.88669259156984,-118.82712960240531,-119.94655196443281,-113.3411614608337,-118.58414587866572,0.944930551187851,-107.07932166372538,-111.80372369157853,-110.69746312876771,-118.69396405696668,-119.93046693079222,-112.00060400499895,-118.14463333041779,0.9338794959385147,-110.20437573033959,-115.8277265647652,-111.35214041188581,-119.19322927626298,-120.4676261667455,-113.91828328292065,-118.25291661113617,0.9456340006670376,-103.35588744024216,-113.10958772802992,-113.44862634273639,-122.04794546779313,-120.38744787783183,-114.18204852734418,-123.1340369435879,0.9484547645134496,-110.04647365860025,-114.59573899839314,-111.64999701315654,-118.66290605963137,-119.91559218851506,-113.65539892488711,-118.489516243031,0.9477950018894413,-111.14124512089735,-114.34089643985745,-112.12042000373891,-118.66416713059037,-119.84242691090468,-113.5153862283091,-117.8453869760045,0.9472053358256893,-113.63611098941072,-117.01273103666047,-115.02293624652637,-119.2253359143698,-120.05353102091664,-116.08019983993508,-118.9192227099894,0.9669036708275636,-101.50958544063965,-113.38980666681674,-112.44812291177035,-118.97112001736696,-122.85907172472163,-113.30086554698518,-118.29968452938763,0.9222018688277851,-111.48084800233823,-115.64869673278899,-114.01237973260983,-118.89132422859612,-120.98311841426433,-115.30370712837657,-119.22222620503209,0.9530561671716826,-101.12346816749042,-109.18953058646589,-107.46682303195203,-117.20044427486097,-120.41710106035904,-108.92120806527684,-114.59153086613426,0.9045327209021592,-112.63993124841011,-116.76117453564677,-112.94848833784661,-119.3791714049046,-120.95137226879585,-115.21586441586867,-118.84731372210143,0.9525800514261145,-104.70293904126606,-110.78374969538685,-113.85285398996965,-120.66742480300734,-123.34995044468936,-113.50003013510826,-118.35898460150536,0.9201465401966429,-111.83047378501178,-112.65797953106933,-110.69233537210526,-118.41096189990624,-121.5144332382979,-112.62620516052976,-118.74901818948247,0.9268545485429066,-102.7891325086562,-109.22106672592118,-105.63291840106923,-118.13651890013065,-121.24257628184107,-108.61260951276911,-117.17885891644525,0.8958289475826356,-114.32645798565798,-116.57659885519969,-114.3003623180752,-119.38222955049865,-121.14869983813627,-116.1404733587657,-120.41973116986414,0.958660501630955,0.009325973221163268,0.008366586939518623,0.01769256016068189,0.011833453366983661,0.0009562275184886532,0.012789680885472315,4,0
-109.52319624561943,-113.83572006706659,-112.01859383274639,-119.39451564791841,-120.18558184682678,-113.50126499584907,-118.67729885248013,0.9443833715470406,-104.16759916296941,-112.40405452468292,-110.09789263093239,-118.71194433103085,-119.44147606383967,-112.12976631648868,-118.70109831812883,0.9387841645272117,-108.366765837825,-114.58827507686378,-110.01363106092917,-118.83342507622224,-119.46650212040373,-112.55817183469152,-118.21865953914201,0.9421734949705844,-109.49222604346629,-114.30686881688946,-110.04151055380177,-118.64687333248449,-119.26847171315556,-112.63650250776632,-117.49040050438614,0.9443946156924075,-111.46638190770696,-115.01908624127365,-112.25629528075476,-119.13573493402055,-119.64479705819085,-113.98747458330084,-118.39547825179332,0.9527156833059903,-108.46905191160607,-115.15619312059977,-113.88595622472434,-124.60563519598065,-126.99202233319585,-115.27098744037598,-123.0037095930214,0.9077025888912394,-111.76367716514875,-113.85168434915691,-109.78787128208008,-118.46647166222286,-119.2760029567323,-112.38508970352625,-117.93974537357315,0.9422271615212848,-112.55826502116284,-114.40024132643663,-110.78909589869454,-118.93606897851467,-119.42209242551031,-113.3165045287882,-118.2061225141239,0.9488738827739894,-112.02797524445455,-115.85903328029731,-113.92037449660319,-119.2654070916113,-119.33673599179623,-115.52522299903568,-118.54730807746813,0.9680608576974774,-102.83422401016074,-110.16349267709604,-114.91425670737502,-119.85892969849158,-120.55540907673647,-113.22949072889654,-119.38915798661064,0.9392319398694354,-114.13242837629517,-115.76232179601838,-113.0990728025024,-119.25004848256356,-118.99076233029415,-114.64372679755472,-119.22264569527992,0.9634674537114659,-103.02612450041218,-108.99739445838695,-107.38867018539685,-117.65473091402092,-119.0284129394552,-108.85665724290992,-116.5366181298391,0.9145434653344557,-114.21576267454283,-116.57942353906321,-112.72778064158425,-119.54041198259966,-119.2530881513437,-115.03049556527978,-119.62280621935277,0.9645913355241161,-103.58524636318114,-109.90785307991757,-116.72867644855675,-120.89784177575835,-124.18860499210486,-114.39479181591972,-118.56717536784129,0.9211375860385277,-112.29851521133293,-113.67924679227069,-113.32548950664037,-118.58937302397395,-119.07245505050668,-113.99798951193091,-117.93099213706554,0.9573833802584877,-108.8264718576225,-111.76042823860938,-107.225901177875,-117.99584589476302,-119.96708400085575,-110.22476766391549,-116.65482911946137,0.9187917551045021,-115.14042464202335,-118.93592375550263,-116.09502642549145,-119.92350799243597,-119.06539234510709,-117.83260069320441,-120.41003481259452,0.9896460959173639,0.007206353227318507,0.01031754789548875,0.01752390112280726,0.022441410988387797,0.001318210764740287,0.023759621753128082,4,0
-106.70848172212561,-113.64848026342504,-110.43100034298539,-119.41081162362883,-120.60386087472905,-112.79757252322023,-117.8897162438987,0.9352733130192473,-102.27242754540666,-111.96891296465141,-108.97189133336873,-118.82528963907946,-119.76708285105532,-111.17791743455301,-116.85021093111399,0.9282844232986457,-104.69988282721677,-113.54131516555272,-109.37157669153612,-119.24252953811448,-120.07635874435125,-112.227871209115,-117.04336327735302,0.9346375288415758,-105.57400130695997,-113.58991396475385,-110.07347201092728,-118.9366520657135,-120.17565008352803,-112.32950800458154,-117.14955505271271,0.9347110494222995,-108.70412278130306,-114.21776699570013,-110.39276467185393,-119.48694920906266,-120.1612707471507,-113.03500169362296,-119.12624873893952,0.9406941270742452,-103.83481208472065,-114.47932845808596,-111.8594548755387,-124.18930603200224,-127.5005719444138,-114.16730355815227,-122.75171456484557,0.8954258150930146,-103.45092417085257,-112.57924006303956,-108.84457018987055,-118.97942492838536,-119.85299433406638,-111.80212074173232,-117.5110131533018,0.9328270967524278,-111.50714684533891,-112.90142615648381,-109.9417387396512,-119.0748527193692,-119.67211618985233,-112.17097056633249,-117.11901572910187,0.9373191862704279,-113.89597952552636,-115.98330221844996,-113.32129205925276,-119.26417290886867,-119.89377401881713,-115.24565846362111,-117.75288094822619,0.9612313850887161,-101.23877617682464,-111.1357571272983,-111.40377835788715,-119.098941413035,-121.11514411081406,-111.9217638712517,-117.08048146242032,0.9240938834936208,-106.90319408628835,-114.89810714583562,-110.37032838440857,-119.69085613577172,-119.09592251230563,-113.0875163259839,-118.09926735945875,0.949549858134724,-101.14522931548666,-109.86643654421395,-105.74696184251997,-117.33302945663418,-119.59784946503518,-109.02889224485622,-115.33987520726606,0.911629203472686,-112.09758667597002,-116.0619108086235,-111.4202436464007,-119.48162042741546,-119.62767758096267,-114.48719425184049,-118.35525046728537,0.9570293143437215,-109.47800819973932,-112.15426168592062,-114.72459590767106,-120.90193846038403,-123.88434738950167,-114.37116613973477,-119.37220594441986,0.9232091749262177,-106.84183733186086,-114.6263233091679,-110.12945111426072,-118.28273752151364,-119.43777636730644,-113.12988637843215,-117.39205799277384,0.9471868098960946,-103.69504303798561,-110.18496601642,-104.9368341579965,-118.18788784509069,-120.21530096413822,-108.51514837932028,-115.85492540905035,0.9026733494739722,-111.99673564252947,-120.18671559060334,-115.38705150462215,-119.596797677621,-119.58793669236599,-118.06324110839347,-119.43739366411009,0.9872504231936478,0.006599215101975722,0.0019453752595223188,0.008544590361498041,0.01929755863281637,0.002579949270589143,0.021877507903405514,4,0
-108.71276920891722,-111.60446942172666,-111.61331644640332,-119.57492199215126,-121.16639595331827,-112.42501819974422,-118.8361994824311,0.9278564185655745,-102.35588506137788,-108.64016648378869,-110.41775450334305,-119.30696956918578,-120.19523835007092,-110.80434655499616,-118.6480716254182,0.9218696853221122,-108.4827722614433,-110.1332449368225,-111.30518373342453,-119.03612842963162,-120.7496968741058,-111.56926322360667,-118.56748971773325,0.9239713731118456,-108.9370402666477,-108.76179341142559,-110.85646885503178,-119.26692253424432,-120.49919421982,-110.87872353867465,-118.60951401942093,0.9201615351585235,-108.21356290014516,-112.33515521745967,-113.91953206011154,-119.16170413036578,-120.9299545891779,-113.95146044619611,-118.53415738012288,0.9422930888654588,-106.51354323991079,-113.33239474490989,-113.94307933276463,-123.49341697063804,-128.49949362000092,-114.50814211939812,-122.49971976240863,0.8911174580813674,-110.75509949359184,-111.11556443718682,-111.52074121715665,-118.69568795216894,-120.60871444649412,-111.99335469361655,-118.32933142488315,0.9285676844130561,-112.85265007772884,-109.90401511844539,-110.26558530467379,-118.70785573785498,-119.94233807205424,-111.33757828872255,-117.84687517308075,0.9282591958632451,-114.7137405630981,-114.80748692313563,-114.05905748862882,-119.31272125686166,-120.83200037812877,-114.88187744424175,-119.21330112271566,0.9507570600894891,-104.10518275361424,-112.10115943556927,-114.72616718837796,-119.82628182775274,-121.41732473825573,-113.93489417984863,-116.98181137281071,0.9383742758742438,-111.60350519161037,-111.73189358487906,-112.5941553039828,-119.16578201084899,-119.97964291846155,-112.82073034739149,-118.46331200733144,0.9403322730678964,-102.86539966175349,-106.99989514780846,-105.52117093477298,-117.66275411028549,-119.26040895550474,-107.60128745406405,-115.88474508694458,0.9022381224116829,-114.59329334883887,-115.23146540006637,-111.36524027887089,-119.74416851251674,-119.9944128965595,-113.89734521652046,-119.56626249191278,0.949188736934819,-107.09816838709489,-109.23576767297898,-115.43510843890655,-121.41917581125357,-124.51544985282996,-113.55719303075763,-120.37249344473446,0.9119927941871924,-108.32120051418065,-113.06531234973771,-110.02628945868118,-119.88842709221332,-120.59938342451656,-111.94002622042026,-120.42848234789923,0.9281973343626901,-104.57992007347835,-111.66114199668648,-105.49695943737586,-118.58363264224805,-120.61477457405095,-109.23961221284964,-117.47824904728424,0.905690141184009,-113.41334354816107,-116.61505388672612,-114.36056960635023,-119.92712328635027,-120.02430734306084,-115.8844562246027,-119.95537569419665,0.9655082273740988,0.00010333978228876853,0.010448589740566904,0.010551929522855674,0.017851314328821477,0.001925082061753168,0.019776396390574644,4,0
-108.48370621477989,-115.37574772582758,-115.54696651019785,-120.22758589441864,-121.18393091376801,-115.97171025242159,-118.70185998709978,0.9569891765183345,-102.96359914483001,-113.6618562893122,-114.54833965920982,-119.71970385157331,-120.34780846410278,-114.64122359392842,-118.56086341482256,0.9525825609705513,-110.8108315764968,-116.12748731769136,-115.42604010358085,-119.90580077594565,-120.62716379144253,-116.30317569043567,-118.1178731327613,0.9641541095297342,-106.80711711398737,-115.93569499023046,-114.50318859811873,-119.5551264650208,-120.35334980021058,-115.41544406409889,-117.91239363666307,0.9589715970157148,-109.56525883360871,-116.37698455664436,-117.33501795876424,-120.10670219428839,-120.57437610261383,-117.21591196578986,-117.82102350395738,0.9721461205491474,-104.56267831404656,-114.39260668198476,-117.49018125123928,-124.25986372859,-128.32230171715662,-116.72079202396357,-123.00729380969591,0.9095908541387866,-110.24526010866734,-115.613237163534,-115.64815284958351,-119.99881497277141,-120.58246102972143,-116.21694837855135,-118.39662829740249,0.9637964541949923,-110.133555765451,-118.03728459581485,-115.12777961719812,-120.05248173067898,-120.50572702176852,-116.57132371161434,-118.27506013933444,0.9673509018418398,-112.36046251493056,-118.90827194022444,-118.14589872450095,-120.2601225777812,-120.72826298753233,-118.50113317989137,-118.99511571514715,0.9815525399560254,-105.4302916779395,-112.54401145443292,-115.86275493554764,-120.02996915596862,-122.11019417437855,-114.8920369505363,-117.74923890016487,0.940888168488747,-112.23343202615479,-116.19230503723189,-116.38385003689669,-120.11456374762174,-119.86255087520098,-116.80588649248541,-119.63730565689397,0.9744985872535108,-102.59361305131395,-110.74366089675516,-111.1759247711167,-118.05543809392304,-119.8977779038689,-111.6594550294659,-116.3751187759064,0.9312887776701894,-113.59908075303096,-120.59686136583592,-117.01508090544513,-120.12891403913949,-119.87507862118062,-118.91454983357163,-119.10973635221552,0.9919872520739329,-106.28382191057224,-110.38929165459946,-116.82456377746126,-121.59756829125388,-125.10637786656581,-114.55490554102542,-118.24902508338944,0.9156599966726379,-111.94593322786929,-115.87180952574283,-114.03403793900226,-120.0721334001741,-119.6832306414283,-115.33725479574622,-119.02532237735261,0.9636876793650178,-102.88593756561596,-112.12270354706237,-110.78464359653289,-119.29752720810338,-120.57607155418751,-112.57796998254572,-118.42085910651446,0.9336675886969216,-113.31842585196347,-118.49789659614446,-118.44600943896745,-120.4866440778641,-119.79016206892855,-119.2193528050953,-119.57690189137473,0.9952349236867648,0.0006607608254865178,0.005425517593113092,0.0060862784185996095,0.016995620978740383,0.00025849515206854864,0.017254116130808933,4,0
-108.837398718187,-113.32041019730529,-114.19126868181813,-120.6780278613756,-121.98561997277532,-113.92308867168039,-119.95314659764998,0.9339058874079229,-103.38051821783098,-110.31670873507814,-115.01161036828482,-120.08674259057597,-121.1654084093308,-112.76952993262778,-119.45340800796401,0.9307072985027263,-109.5746279919779,-112.98619680708953,-115.6231912658494,-120.26115445130417,-121.40072888488429,-114.0265439264578,-120.90729458639571,0.939257490246052,-107.94646721510802,-111.10531679152687,-114.90381971669345,-120.28691725683846,-121.74895376952465,-113.10258931583877,-118.75998455252693,0.9289820225473661,-108.74153224048128,-114.93820440650045,-115.98188494757372,-120.12553446942736,-121.44854495731605,-115.11376669814487,-119.37675252104657,0.9478398175836723,-104.88728795883657,-115.46745684240337,-117.06121991872004,-124.15575556451725,-129.40423946449192,-116.299502850256,-123.21085246121518,0.8987302373672865,-111.84408565068365,-112.98882235023014,-114.9136188683081,-120.11893195738803,-121.3651630537272,-113.81030411726998,-120.59343602691642,0.9377510090509847,-110.40116160140097,-113.61979496017678,-113.69908718684445,-120.35466193935429,-121.168356012097,-113.76928432722669,-119.33623218840444,0.9389356105142533,-110.25476153934589,-117.28740369372179,-116.38817167108806,-120.64799567522796,-121.5726516044452,-116.35956359797234,-118.53158587465474,0.9571195664676755,-109.31509701104486,-112.70343872740057,-116.15611320448576,-121.19988160792552,-122.45577093150692,-114.64283184959339,-119.98814369248049,0.9361978694635508,-111.61733693157755,-114.01769740018825,-114.97545373183195,-120.78577978767683,-120.79082675721449,-114.5481054256027,-120.96824584321269,0.9483179186763955,-99.61428698087556,-108.35180634459893,-108.68389370882244,-119.03701728869453,-120.01058929708682,-109.62473676675832,-116.2912840841287,0.9134588656621102,-112.20219183692377,-116.67368098459862,-113.08815482027187,-121.0058997160762,-120.88178083484078,-114.87921085837405,-119.55928287984803,0.9503434683455899,-111.69569900325745,-109.01789882333605,-116.13357866171984,-121.9825514038589,-125.25266531346271,-113.19478478158918,-120.96284541754795,0.9037315453391992,-110.27643550773308,-114.45879912111997,-111.28551132134295,-120.62085512599566,-120.90339539594153,-113.58737167305937,-122.30904166434797,0.9394886826881642,-106.91532123047789,-112.46175079638645,-107.25343505743815,-119.15116718604087,-121.27142988933223,-110.57093102054847,-117.5535464172377,0.9117640578778643,-112.73156857343679,-116.73158637252874,-115.90155445981493,-121.02759976110744,-120.92941498920256,-116.47036160556662,-121.44840934447222,0.9631268092710605,0.0046314821104258014,0.005581585688812691,0.010213067799238492,0.01649827989089896,0.0017878288902305527,0.018286108781129514,4,0
-109.0609737829893,-113.65081940845283,-113.7469693704623,-120.00282623706029,-121.82096450987457,-114.08906013296945,-119.61695767948244,0.9365305930057845,-102.464063929513,-111.5653975417564,-112.78401910131284,-119.25208388200942,-120.8058020143016,-112.92344657242185,-119.05023584802655,0.934751847093018,-108.37678618781428,-113.35941060313125,-113.5484623651708,-119.30963999318655,-121.01032848783773,-113.80884674203688,-118.77813734678915,0.9404887017844543,-108.45421075410624,-113.49641057721074,-112.71929005725971,-119.50422550062345,-120.81556670677242,-113.5988262072481,-119.07196024690714,0.9402664681692895,-108.87765478161288,-114.27531534462473,-115.49718825849746,-118.8833459148181,-121.15150228773949,-115.05002398641412,-117.199724331205,0.949637617478039,-108.5727584992594,-115.50468714790757,-114.90626129928683,-124.38376975549903,-128.7736967613873,-115.63451459997674,-123.33315819118612,0.8979668791697659,-109.15407817228186,-110.97822585699642,-113.28170239793175,-119.34107966742526,-121.20131465226511,-112.83516798797963,-119.21257680007731,0.9309731359904097,-111.13609663615682,-115.24436600965544,-112.4527373003439,-119.62592750562042,-120.30889192613083,-114.00595298097872,-119.2668765793938,0.9476103649178144,-113.16259451158777,-118.89106534386075,-115.60404408697603,-119.63325566711808,-121.23484910791056,-116.94380749792296,-119.08413619776225,0.964605543360159,-107.2008742538141,-111.61758367554025,-115.64126347355237,-120.52028218766993,-122.61300119420646,-114.01341817453226,-119.99457644090003,0.9298640198354386,-113.08902898296256,-114.47508546655934,-113.94367277543785,-119.78178321130557,-121.06906561631905,-114.39993396187096,-118.91823038713761,0.9449146516453403,-102.93083763561702,-107.7070565510096,-108.57900884170955,-118.31798545642424,-120.27999695547814,-108.91510727194003,-117.54068265726136,0.9055130531160153,-113.49629390301676,-117.44524293468282,-114.79283239591356,-120.27993420491885,-120.84235102341192,-116.44559554020053,-121.18111090100396,0.963615773394217,-107.39571768562482,-113.14358118504646,-116.43945666156584,-121.26976439444255,-125.47251839596798,-115.06370860698007,-120.63839765344173,0.9170431109373318,-113.58418107124385,-113.69520523239665,-112.94668821443062,-119.95104186857766,-121.19951529205284,-113.61379294852648,-119.08350402136395,0.9374112815117523,-103.8261546374759,-109.75329728531388,-109.00403606355536,-119.29905632017343,-121.44524653489108,-110.42487628805367,-119.037722698375,0.9092564710330489,-113.25424888574153,-117.26117977955285,-117.81084663445243,-120.6920442631523,-120.91178520132051,-117.74794276042823,-122.48029257088805,0.973833465152926,-0.0025647487498334175,0.006585508465416423,0.004020759715583005,0.022610634509825308,0.0006510053716249097,0.02326163988145022,4,0
-107.63072349766415,-113.09596134762432,-112.475224117745,-120.03819780748627,-121.25475743350383,-113.48414577437437,-118.91670066442211,0.9359149956372569,-104.20716264676994,-111.42404508758905,-110.9767112779981,-119.5595046672573,-120.04588772542144,-112.59896893426283,-119.45198593806825,0.9379660650417964,-107.4437595275626,-113.78342205874681,-111.52406898646282,-119.97160426062612,-120.56957426437924,-113.1324278490826,-119.97287043527231,0.9383165573846283,-105.45704302730526,-112.26546642176993,-111.53118640167745,-119.5123077741647,-120.30296882672783,-112.85596936075497,-119.28957311457226,0.9380979576929745,-107.78340265673268,-113.46986563607754,-112.36190295503533,-119.3007953391449,-120.51554991797869,-113.6528951941279,-118.91562517051854,0.9430558568705746,-108.65330867245129,-112.1064452787166,-113.999660826398,-124.00020645415746,-128.19999783373495,-114.21615103864103,-123.67873821225754,0.8909216300203855,-105.07854102707556,-111.97192584781185,-112.3555566000895,-119.67529074967835,-120.78377245181797,-112.97019772941293,-119.6792024299979,0.935309399898716,-111.73839790322941,-114.70509465567466,-112.31217354463288,-119.39655519986474,-120.64215834419835,-113.90587255932807,-118.58571777964059,0.9441630862931737,-113.42142987365645,-118.0593391806297,-115.36555870758505,-119.83699255717977,-120.73253468141307,-116.73613559372016,-118.84921166552876,0.9668987394471711,-108.11033611036831,-115.75849390932338,-114.3902535904776,-120.42966759695291,-121.40722384988564,-115.46291038350097,-118.00676966210106,0.9510382226206363,-113.3350702747135,-114.61621991016716,-114.252262398174,-120.00091018943114,-120.24004677206274,-115.0384853811679,-119.15823080326093,0.9567401915540222,-90.40365753651866,-101.31879874409145,-107.5149463835163,-117.66509095753611,-119.1365788295264,-105.514101400903,-114.65049672015073,0.8856566340710864,-114.66316387249643,-117.13501930739041,-114.1934904045062,-120.59688192322365,-120.57614698828048,-116.06190682285222,-118.76223351781931,0.9625610846076627,-107.08306349189549,-113.54503420280712,-115.6556573405586,-120.89505423988976,-124.80419310145975,-114.87244598002995,-117.8907010787309,0.9204213666654952,-107.62380437121568,-112.72920537593575,-110.66890638012856,-119.81059740198674,-120.69732897113236,-112.57765935357153,-119.12589545676727,0.9327270148662292,-104.14239005408376,-109.89102060745101,-107.21302382390296,-119.57344251479269,-121.00779137935515,-109.374265698084,-117.12702245439424,0.9038613501770274,-112.94704491655139,-116.7559853378068,-115.28822626277673,-120.38626309389406,-120.41436499868698,-116.77593911054997,-119.52293619167321,0.9697841209545333,0.0072351411785793575,0.00856307763161409,0.015798218810193446,0.01931521481775474,0.0025244836597732223,0.021839698477527963,4,0
-109.24618247387377,-113.10401660139603,-114.59531948637445,-120.48954084128918,-121.68384019524268,-114.27763343104564,-120.03488344532136,0.9391356588326459,-105.40290892077284,-110.07889221223324,-114.04746869047793,-120.09026281618644,-120.3978602479189,-112.73336516642334,-119.57327197329266,0.936340271615184,-110.00068073950655,-111.5677757434815,-114.50355176922457,-120.21754226030825,-120.61338807536941,-113.4610295605535,-120.09052777368939,0.9407001276645465,-108.00070249368645,-111.30416034837226,-113.95425565182461,-120.34723595453693,-120.90164198137981,-112.90967078098012,-120.79827986282501,0.9338969176148118,-107.78759828381632,-112.48830041569833,-114.85866202258659,-120.12018598308617,-120.86345213383636,-114.10660635401476,-120.4571554061011,0.9440952110788668,-106.96343403451637,-114.41221592979666,-116.66455356750316,-124.01366996130558,-128.833365807321,-115.78713970934513,-122.58526062687758,0.898735657364666,-104.21050109292449,-111.52395295616101,-114.8124366623912,-120.36892941115975,-120.80703791544403,-113.57763133646445,-120.480183236047,0.9401574055309623,-111.30819811697981,-113.17049292351214,-113.67495288504642,-120.13610092022506,-120.94809914030262,-113.71752397515222,-120.70327210592444,0.940217537798897,-113.66917197178148,-115.887025257855,-116.18414405955801,-120.43394686773415,-120.71946330514308,-116.28245679002195,-120.85617231192828,0.9632453094667454,-109.04223331816542,-114.28202829412741,-115.1346213713267,-120.44893985465517,-122.27454369415885,-115.07353693387738,-119.12366066183009,0.9411078827798114,-113.46517955374674,-113.4042040554035,-115.11903547467085,-120.39031774696298,-121.07012187818319,-114.57854728359676,-119.73093745688706,0.9463816960462134,-101.59715947869982,-108.47151873121084,-111.70262797223322,-118.85108606455309,-120.27730915564288,-111.16848092363608,-116.53481722594859,0.9242681076260222,-114.2163479508772,-116.51783092815583,-115.11656475063916,-120.54331910713097,-120.82238205338246,-116.08304363972555,-121.23189585080445,0.9607743339180075,-108.41551805085535,-113.42927969546803,-116.41975132962388,-121.41411489200527,-125.15537145521884,-115.57839328671146,-120.07339456494259,0.9234792877273025,-112.31193004754451,-114.2040497380035,-113.64377922543265,-120.04924842863021,-121.13909184396408,-114.37781694150388,-119.01689725846151,0.9441858544624949,-106.28940150999537,-110.38014142127325,-109.35998163310892,-119.8160088099559,-121.18509167345071,-110.54432868452656,-118.82435734432536,0.9121941251849931,-115.25795401811142,-118.5423969715841,-118.32872471634313,-120.59174438219097,-120.93322276316695,-118.46256353019729,-120.4780514652567,0.9795700538154999,0.007800045193367973,0.006311715617955818,0.01411176081132379,0.015948152554090066,0.001056918521244321,0.017005071075334388,4,0
