mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,mean_Relative_gamma,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp1_Relative_gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,Fp2_Relative_gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F7_Relative_gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F3_Relative_gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F4_Relative_gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,F8_Relative_gamma,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,T3_Relative_gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C3_Relative_gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,C4_Relative_gamma,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T4_Relative_gamma,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,T5_Relative_gamma,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P3_Relative_gamma,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,P4_Relative_gamma,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,T6_Relative_gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O1_Relative_gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,O2_Relative_gamma,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-105.67007499848799,-114.55609916811183,-116.16072895125659,-124.51447796701461,-131.13544727338052,-115.52210965349029,-121.23346177017598,0.8809373213381366,-103.97989330335265,-115.73364422568041,-115.92577233703693,-124.32623861089301,-130.71714717380277,-115.75122928305268,-121.98988444883469,0.8855091454004022,-93.43042188078996,-108.52483909125318,-115.38803423314737,-120.85956286767377,-127.08509720981998,-112.4248649873981,-116.29607416711896,0.8846423967539045,-106.66559406555012,-116.23968261429012,-117.10996228044846,-124.67407238660029,-128.40433371890083,-116.43413680224302,-122.50867908306189,0.9067773137403397,-108.86463540041535,-116.78384458339845,-117.86681965004196,-123.86401684172858,-130.8935271342375,-117.29960604235572,-122.26537561392375,0.8961451999231362,-108.2701600318776,-115.1303922000401,-116.85672652781508,-124.67430036445884,-132.39623577264882,-115.81053723821009,-122.24403540222798,0.8747268120000047,-101.77784901950545,-113.810164022452,-117.11255599631758,-123.8133681333461,-129.60498594807115,-115.39913963776273,-119.8688329224519,0.8903912051963782,-107.98509760218815,-116.6356542006698,-118.1511749804645,-122.08639534398765,-124.74810263816751,-117.23330487788718,-121.42740691832864,0.939760223992528,-112.30538908212907,-119.46042700040528,-118.96054625282954,-127.716925054894,-134.20149590361387,-119.18126821483618,-125.5130163598913,0.8880770472218468,-112.09017502808518,-119.27078898318297,-118.10795881544949,-127.63466818450364,-135.32118080054255,-118.07171540966831,-123.12036558204002,0.8725294496483947,-110.39564281863858,-115.89033700890788,-116.13218165103262,-124.73538129921575,-131.7380513709442,-115.84228628732586,-120.39351902213704,0.879338088591735,-93.06460591228026,-112.21561891024255,-115.4778666595227,-123.80331748008712,-130.6517808844072,-114.58998359687189,-120.21494796823896,0.8770640769011344,-112.88773101900165,-118.30848773834259,-118.20284129913911,-128.4900083012108,-135.26152381231236,-118.80233511823829,-123.94881723740328,0.8783158119901658,-91.37029405943713,-101.04111600843669,-107.0752406397191,-117.2647009032016,-127.1940374782069,-105.04410898184832,-112.43287969557267,0.8258571790351912,-108.19532548787394,-114.9029372901985,-114.76985293306174,-125.36976751573283,-133.1107530492702,-115.32272075334436,-120.73079624925944,0.8663666767076159,-109.02097048823465,-114.26945587035841,-114.00826136860854,-126.018053083198,-134.49847456030977,-114.65314867505069,-122.18219337763975,0.8524494352063424,-110.41741477644814,-114.68019694193038,-117.42586759547046,-126.90087110150168,-132.3404289188328,-116.49336854975117,-124.59856427468523,0.8802553346808255,-0.004303331040599988,-0.008617741176585333,-0.01292107221718532,0.003260195578044603,0.010732383468162847,0.013992579046207449,13,0
-105.32985681110117,-114.36377829877927,-117.44844050426678,-124.29742646735042,-132.140752066946,-116.39314194354691,-121.71008679256427,0.8808269979012914,-101.15315840878772,-113.29594172364403,-118.21276855865028,-122.63869697127997,-132.92000111003838,-116.07090736310069,-121.41620916070804,0.8732388383521822,-87.86787265356759,-107.58524542905509,-113.91080028089912,-120.01395164441705,-127.87194316665521,-112.00743611587896,-118.7548768758387,0.875934417997386,-106.35975395686121,-113.01696006170339,-120.50932093579442,-122.6816543231516,-129.50558068812273,-117.04318408750795,-119.64697000800399,0.9037694241870016,-106.64037254419858,-113.09398264631761,-120.08728837789474,-122.54802900862748,-132.2251343387536,-117.10255195513689,-122.74635613999499,0.8856300471219527,-108.70832729680384,-115.66660045583627,-115.92330545093859,-124.11058716867846,-132.8143216598645,-116.1068824608655,-122.67284089485705,0.8742045361509544,-105.20617546881866,-115.93151553931106,-115.59663894335985,-123.52148994335205,-130.44028770552382,-116.01199033056572,-122.43370690789673,0.8893877219319635,-107.8506251040094,-116.04665428721523,-119.27568445646571,-121.37592970282094,-125.24176728945409,-117.90649279756423,-118.90601907993195,0.9414310844485542,-109.07038520409233,-117.56302234384891,-119.33599405191242,-127.3560013640417,-134.51958416082638,-118.66996788968147,-125.67472363301576,0.8821761428269379,-115.06524691086462,-119.43670108091199,-117.22868451172984,-128.6692046332712,-136.04518942918452,-118.59353090131864,-125.10169710496919,0.8717216051439293,-109.82348401281422,-116.38629418777212,-116.10834483435642,-124.96491898846801,-132.48752304822656,-116.43335379242636,-121.19409440557342,0.8788250479257858,-89.56393447168222,-108.92672758826633,-115.0474274279973,-122.50009720761233,-129.56071343623614,-113.03138012486812,-118.86142847174115,0.8724201737318852,-112.61009429765213,-117.75542067107934,-118.03633140100757,-126.7703196034063,-134.4663681531406,-118.46959774280074,-124.41985631842844,0.881035156745503,-103.42672776863043,-113.84140012502837,-118.53492038112036,-126.4604877784498,-133.76128045083925,-116.92943462108282,-121.8084998049873,0.8741650366008378,-104.88070533833613,-114.29619835662737,-115.45807549836745,-125.67693806820965,-134.34882988962957,-115.17933776936214,-121.66254214778374,0.8573155260375875,-107.51748302071346,-113.49249651548921,-117.87355841939508,-124.3169775545056,-134.5957336782685,-116.52654944770354,-120.36003382273151,0.8657521770061695,-109.53336251978635,-113.48529176836183,-118.03590453837968,-125.15353951731467,-133.44777486637216,-116.20767369688699,-121.70153390456619,0.8708101263827851,-0.01764320346558714,-0.013456051507198809,-0.03109925497278595,0.006334901996400432,0.014569200783036787,0.02090410277943722,13,0
-107.94865050172572,-114.52691649516134,-120.1271687682586,-125.8928597544302,-132.53515152964442,-118.10119653770033,-122.30554668041556,0.891093382960251,-105.3371220081787,-115.11153356730601,-120.84243909378338,-124.88579537556849,-133.00169137399345,-118.71758320857745,-120.19299708049678,0.8926020562757365,-93.98209878053048,-110.71204695305401,-117.6604810086567,-121.60838939338063,-129.62739569361685,-114.99527920967304,-118.79004642347269,0.8871217275819704,-107.8490574779643,-113.43570996754916,-119.08615670909784,-124.54831283735703,-130.82106755055096,-117.2255020910068,-121.42019838494045,0.8960751069066865,-108.79211122860826,-115.39220594507945,-121.73879823206082,-125.73114724846607,-131.7829627738479,-119.38801477231446,-122.15052188976007,0.9059442302659081,-109.82863126588865,-114.21153236745312,-121.23583893578733,-125.78801863024474,-133.53879995477453,-118.32320086076496,-122.12102694018934,0.8860585904683685,-110.00958061944434,-115.73027837825333,-120.56448300501131,-124.09618182561256,-130.3019088025344,-118.56715338416059,-119.63221953048912,0.9099417995774934,-108.46854723691706,-113.04072794493254,-120.28838609123223,-123.05175634369243,-125.614306314009,-117.8281684673744,-123.0859724136105,0.9380155169016265,-115.35866008563832,-116.43745857042735,-123.48432249301015,-129.37248831656993,-134.89438127826375,-120.88757689503353,-126.5544311552855,0.8961646567447713,-113.7817250691293,-117.64532290991906,-123.12390342896254,-128.98438277769807,-136.56616521272366,-120.75949187227427,-125.04638822622465,0.8842562993855179,-112.72432004753608,-115.24665112224308,-119.63248267990369,-125.43096244363981,-131.7461270881134,-117.94759971264062,-121.22126240413291,0.8952642655958747,-93.0742311678467,-110.48925305290793,-116.58554625625887,-124.31825112228572,-131.5689733997986,-114.38050910743898,-120.88775031767383,0.8693577684145255,-111.70947411241396,-117.05839707887795,-120.76750698469942,-129.12186137606136,-134.81032105554567,-119.58650276724259,-126.05021803696434,0.8870723089367138,-110.97565918073585,-116.94706019252715,-122.30470381334727,-127.97397608804327,-133.55678681476547,-120.31053463592187,-124.08876473188859,0.9008193256609618,-108.59642282893861,-113.61966944480666,-118.39320379188246,-125.9513657230011,-133.84514858721934,-116.76310730209141,-121.55486133797226,0.8723745950792043,-107.3445393828329,-113.9634060825645,-117.76740416724274,-126.80417540310594,-135.32118575359834,-116.67480995705336,-122.31091257619724,0.862206529652367,-109.3462275350081,-113.38941034468029,-118.55904360120067,-126.6186911661562,-133.565202820955,-117.26411035963721,-121.78117543735078,0.8779540470344698,-0.002070007397216695,-0.0027338322618121803,-0.004803839659028876,0.00022611152346969817,0.009574935881089026,0.009801047404558724,13,0
-108.06924296478998,-116.50771077941017,-110.83519687593665,-124.62266031298256,-131.27147577523587,-114.01069690131243,-123.03746307756411,0.8685108187289865,-106.28815396167428,-115.97502380421106,-111.13171275587165,-124.18251581218829,-131.97017138052553,-113.62689205976233,-122.11772047788672,0.8610043532650131,-95.35792331128727,-109.47413435529887,-109.18986241190618,-120.42626473837966,-127.9383477397405,-109.84426231227646,-117.90775472136815,0.8585718375520054,-111.90726928552547,-116.07758087513564,-111.83344413772653,-124.13861806020198,-130.46849323362403,-113.98417462969678,-122.40101234253092,0.8736528782132134,-111.1830015033554,-116.86627058287068,-111.87261618414055,-124.57020376499368,-131.54994399388468,-114.48284239651288,-123.34955097488229,0.8702614301518425,-111.4637717647278,-117.663163851102,-111.99939556169261,-125.81776472093279,-132.39640145159362,-114.97070363692859,-123.72291235918583,0.8683823908836664,-101.55438854716746,-114.68083637614892,-112.1395618333852,-123.90314928223916,-130.08769434465327,-113.99234005283165,-121.58726459567757,0.8762730450954206,-109.76176872078995,-116.90026674077698,-112.10027518953692,-121.4229412802178,-125.04574399478705,-114.8164088291137,-123.22108335617958,0.918195255281141,-114.45543456157814,-122.23875860785,-113.46367956937583,-128.2038731139645,-133.8285173729059,-117.77018327752911,-127.1921260065866,0.8800081297274548,-117.16949620661364,-121.76685917897267,-115.22512912424475,-128.62111661780438,-135.84294096210084,-119.0922322297259,-127.1479539199271,0.8766906206996191,-114.82246989941672,-118.96660096105359,-112.62875744463422,-125.56061633150145,-131.5957396094325,-116.13686953489292,-124.41853307431799,0.8825275793850128,-99.70308328098253,-115.6311276855082,-109.77543396974053,-124.00582050941284,-131.1857783574398,-113.00071733986576,-121.76367977534164,0.8613793259813156,-111.53844044027514,-118.07625006079543,-113.02060722472046,-128.58288313232217,-134.9927005898995,-116.24235135450438,-125.6801468309989,0.8611010139551347,-111.19833289539007,-119.4742494131915,-110.42581295924171,-126.58481353353152,-134.07449158047433,-115.19103278013141,-126.21363202323947,0.8591569613448158,-107.84351572503614,-116.30714456856379,-105.45745945105836,-123.95003314517496,-132.32181729797327,-111.49291673641453,-123.17483005460487,0.8425890681757001,-107.85698941123434,-116.37180618503852,-107.64063705124136,-124.84166061846744,-132.62747814197763,-112.32764102155411,-121.94359035950217,0.846940940106751,-97.00384792158522,-107.65329922404506,-105.45876514646933,-119.15029034638849,-124.41735235276188,-107.1995822292584,-116.75761836879603,0.861612791158859,0.0005663029360543287,0.002351642103838005,0.002917945039892334,0.004982511593839737,0.016752836064449498,0.021735347658289234,13,0
-108.24151465081017,-113.99957094787344,-116.87473290461655,-125.40255787593993,-131.15037271619914,-116.10000901494706,-122.10666618427062,0.8852434545968079,-108.30610282025464,-112.71992551076208,-115.9880931309858,-124.62095800537993,-132.28434292022263,-115.01738371844951,-121.20925919248354,0.8694708775007002,-100.15935650164755,-111.99364418112846,-113.40684361266104,-122.30870255575034,-126.19684090657742,-113.16638171681994,-122.37072225037639,0.8967449652768739,-109.52820950111715,-112.36184093817197,-115.76862690718723,-124.72953835226016,-130.11264226223392,-114.69508575896609,-120.56256031612105,0.8815060839960908,-111.41761130315317,-114.19830420678811,-116.81422885269644,-124.8223639002926,-131.03945258696925,-116.32052328869398,-121.07918020517134,0.8876755892390004,-112.1869521134312,-116.32141498581542,-120.11465377511384,-126.27727861245258,-133.90284889000102,-118.7453702760664,-126.33462880711808,0.8868024187716406,-112.13691119932525,-115.1490984620944,-119.0042892014217,-124.77462496019031,-129.61393956512126,-117.59921735499205,-122.52021156695595,0.9073037803615813,-94.70887623858079,-103.76065077503672,-109.9600208418914,-116.09460955676869,-122.78655567599509,-107.9664388897843,-113.1890430961156,0.8793017956679426,-114.79963367909554,-116.95471003449909,-118.01657417714334,-128.42792845447252,-133.6303170283391,-117.66064239486991,-124.49481805270361,0.8804936260827512,-117.05299589416674,-119.62630403036542,-123.30746293350633,-129.4877102348441,-137.21004347215413,-121.79997395992667,-126.11511009024039,0.8876899305453917,-111.51539582566609,-116.05141518529918,-119.32855588219593,-126.19917532109633,-132.91489235142615,-118.15693481226097,-120.95163241536432,0.8889668623426694,-102.77320063283014,-112.74793312222319,-115.13527511680113,-124.43011569446077,-130.2925047212354,-114.08357304797083,-120.76305826544568,0.8755958241193993,-113.8886553177826,-115.99157610117766,-119.55193822828382,-128.6113723075476,-134.32950855268393,-118.30816224937651,-126.12082909803274,0.8807309989001868,-112.58474027252126,-118.93368717514379,-120.19576278069347,-127.53635513954747,-128.87073505662397,-120.58524119570471,-124.86338411905004,0.9357069403128745,-105.49797923416727,-114.75665932767917,-114.96101491872673,-126.11567811561814,-132.32353977189885,-115.81039988538484,-122.01654017077406,0.8752063320329883,-96.31904594729697,-108.2184362120833,-113.38809709719298,-125.91971603828479,-131.94685233885545,-111.81881930486803,-119.5908732692179,0.8474534808735247,-108.9885679319265,-114.20753491770682,-115.05428901736354,-126.08479876607252,-130.95094735884874,-115.8659963850182,-121.52480803315937,0.8848045678318555,0.013930023582654561,0.04085914428950413,0.05478916787215869,0.00579417277380683,0.04170377613862913,0.04749794891243596,13,0
-106.99271612426551,-114.41559024203353,-116.17759154424013,-123.89792071207464,-131.08268820756183,-115.657215743635,-120.33455326114236,0.8823225806942449,-100.89706994047896,-112.47802677527879,-115.63815376319535,-123.43643173500419,-131.77114545356187,-114.12079826136262,-119.10464726749152,0.8660530184248911,-97.76174718630588,-111.04386745566512,-113.52931687976933,-120.8934095412923,-126.37767295837176,-112.62579102403642,-118.41876065434663,0.891184244713343,-100.59239449408173,-111.5744403656957,-116.53604525231263,-122.44364693848829,-129.2823977455794,-114.31820809911103,-117.81785039337598,0.8842519174503781,-107.21641998983225,-114.08865999763236,-117.09083360237375,-123.44524711934746,-132.55689650976848,-115.58740131882479,-120.08636149313557,0.8719833095240491,-108.52091916934833,-115.32999837308215,-117.37723349327884,-125.3903535899973,-132.4264465437939,-116.36542067609714,-121.84815106884778,0.8787173839752219,-109.61177769644333,-114.3885669485469,-117.04496495299449,-123.5672775928939,-128.29043008639445,-115.8457419383547,-120.02756303629221,0.9029959745270233,-110.4407325586734,-113.44902408690415,-117.17158283971803,-120.50459623581968,-125.44663223037482,-115.60858129733859,-117.82881630212921,0.9215758067146094,-115.76192517222796,-117.11882304371439,-119.92155314319368,-126.34854751313445,-135.09935949091752,-118.7323633061851,-122.47331609694731,0.8788521555808506,-115.73297848406384,-120.06244641607225,-121.50020203783802,-127.77921113847754,-135.85097015345562,-120.9029943148966,-123.83775705312843,0.8899678388628807,-111.80230781571515,-115.35776587491905,-117.21003341130594,-124.64229319372353,-131.74571481149314,-116.76793233426821,-120.48291267098332,0.8863129438505403,-97.39016523653177,-110.96826725081604,-112.95842975473482,-123.14466268145013,-131.5945693140523,-112.32920728426967,-119.86565172804912,0.8536006301004293,-111.82087279015991,-117.15641537074431,-116.77468005398552,-126.85958101704834,-134.0526431730928,-117.59024250275544,-124.0842713456868,0.8771945089580918,-109.5795000110198,-117.68098119820984,-118.81761906024309,-123.22049520240478,-126.53627859278137,-119.08565369650859,-120.83772224744187,0.9411186658946217,-105.08447120103932,-113.28206396656337,-112.06454559887874,-123.34613629344813,-133.14280926123524,-113.51874272787722,-118.27173871357095,0.8526088893403604,-107.11373765786088,-113.31126760219581,-112.10269308773093,-123.55126257517247,-132.3887817509207,-113.24207502531823,-120.29955966585429,0.8553751573783227,-102.55643858446557,-113.35882914649615,-113.10357777628877,-123.79357902549185,-130.7602632451956,-113.87429809095582,-120.06777244099679,0.8708631755919916,0.0012214878318088803,0.00016405114105337934,0.0013855389728622597,0.007816833544336169,0.016878439565487763,0.02469527310982393,13,0
-108.500884627447,-115.37571270715837,-113.77438465561778,-123.7739904013931,-130.2018289541801,-114.76072701117391,-120.32359405800685,0.8814064128973171,-106.99749802715216,-116.10875924826723,-112.9340805546598,-123.36161978107806,-130.38300939416575,-114.46420317697877,-119.68690212695375,0.8779073570156504,-101.59893467429191,-112.63902317490651,-111.16083558523259,-119.91013421742149,-126.57008523461585,-112.32709596814016,-116.2247586000089,0.8874695451134899,-106.78125958552177,-115.19851320017968,-114.21753263453749,-123.1275087303146,-128.83401186455578,-115.01475501027956,-119.91366014475587,0.8927359580418522,-106.74364070686373,-115.13465911352944,-113.55646895238252,-123.48391454818768,-130.1465088809991,-114.92079695256413,-121.40646907372346,0.8830109846253597,-108.54282280561246,-114.72404659688324,-112.19694154656906,-123.71142537009534,-130.64389991127211,-113.57927326690236,-120.44029609638015,0.8693806089992772,-110.23090267122778,-112.40304165315418,-112.07126579425963,-122.6444361008454,-128.84206804438762,-112.63077274484243,-120.0607652768523,0.8741770017696379,-106.4513976731153,-115.6217203516765,-113.21699269974633,-120.12377631420567,-125.66650666273995,-114.80649253292816,-119.6586114835579,0.9135806793853387,-112.32735192480891,-118.97782844544986,-116.87069634229286,-127.1536427424523,-133.306932245336,-117.77581033725431,-123.52929822792775,0.883493516454955,-117.54256369058022,-117.36657061593432,-115.77514693623093,-127.0603193334917,-134.5033804085453,-116.45857835984609,-122.11094483066623,0.8658412748148835,-112.34958610100378,-113.6136622272674,-112.96827609709976,-123.77468320872491,-129.57625675452442,-113.42909819227881,-119.18232907447712,0.8753848971510608,-100.78871484763593,-113.77272000493018,-112.43953854339588,-123.30467746330996,-130.0725633463874,-113.31636474608365,-118.01975272147064,0.871178070384594,-112.02667996366442,-118.67471987434051,-116.34159953410973,-127.19820820785719,-134.36517315624238,-117.42349786664545,-122.7791247039033,0.8739131957215072,-112.26054663809016,-116.81749101760484,-116.28139980117844,-122.98600899506773,-124.75597116818342,-116.78177300630315,-121.5792247809391,0.9360816313062061,-110.85934029698988,-113.6509579245382,-113.36365730926475,-123.94267282433532,-131.7374964191136,-113.81675759563649,-120.80577370509182,0.8639663018457286,-108.28596245369859,-116.36897841790619,-113.26448437448829,-123.91936236151048,-132.81629307037167,-114.75388832504281,-118.56581190363306,0.8640046011842941,-102.22695197889485,-114.93871144796562,-113.73123778443653,-124.6814562233917,-131.00910670544116,-114.67247409705595,-121.2137821777684,0.8753015494936834,-0.006022178813638635,-0.0010996145061505232,-0.007121793319789158,0.0009203685716036025,0.01496896250046217,0.015889331072065773,13,0
-106.18877177659397,-113.4494825054515,-117.92815199721218,-123.36104105717762,-130.30605307224997,-116.22850254824954,-120.41664946827296,0.8919654905348492,-105.10547415360776,-112.9942628897988,-116.95925385399893,-122.46539885993468,-131.3460377637836,-115.64335742395156,-119.00550965136202,0.8804480088841949,-99.8614598888753,-109.4495743539942,-114.13109302759548,-120.26723684967872,-127.31986985158544,-112.4848647493043,-116.98863465704724,0.8834824044387255,-105.03767795452902,-112.57212053060573,-117.98796024145611,-122.10476917709381,-129.72360272244566,-115.94079970709137,-118.72898655696956,0.8937525421272509,-110.3250323248696,-114.20755039013223,-118.92111817685017,-123.21500445029933,-131.32742018123088,-117.28418120618439,-120.74510958984999,0.8930669699011301,-108.7479775377468,-114.9850678553778,-116.7306547981985,-123.9444499807305,-133.06014378180612,-116.34742752341367,-120.78172664716905,0.8743972779272041,-106.16173627951828,-113.10824263132359,-116.06373886441928,-123.11332506281967,-129.59940545836432,-115.07401004727677,-121.36672365709704,0.8879208175399074,-108.01881281028119,-113.65271324374413,-118.81179514201172,-120.20837578047173,-124.9422467322892,-116.55469880135749,-118.64777380481337,0.9328686000908603,-111.49709762470738,-117.87812722258052,-122.08116692172328,-126.18479184496768,-133.6636553351759,-120.14564408988664,-122.3421064076698,0.8988654678686484,-111.29941458126206,-116.05772054441836,-118.97197204236454,-127.0248448282,-134.3979662252797,-118.49189654740933,-124.15140334650151,0.8816494763677569,-109.72584331791957,-112.70205639165367,-115.59290338002216,-124.32188888611485,-131.4774916138482,-114.80869385108865,-120.96862744605514,0.8732193810654973,-98.2908193486267,-114.14966979700563,-117.38082064559406,-122.19918696637015,-129.62234712922108,-115.85114495933703,-118.99458639357307,0.8937590432909267,-100.06447338838618,-114.27960308618013,-119.66214872917976,-125.30527264117188,-132.82510757583066,-117.65378095119442,-122.12397999126784,0.8857796774907573,-107.44562840491551,-112.7724244701327,-118.76820138122939,-120.85526105898626,-122.27507156560247,-116.09842870674356,-119.79238517158635,0.9494856737373075,-103.08128582993447,-111.68686689040759,-116.26744947556942,-124.26674876967796,-131.20000722438124,-114.50650640105634,-120.5342556182793,0.8727629580478964,-107.86084466896503,-113.00337937167497,-119.32188556662604,-123.65694604912402,-131.48845329606723,-116.79050759353737,-120.25221906825031,0.8882187345421495,-106.49677031135855,-111.69234041819409,-119.19826970855587,-124.64315570920056,-130.62802269908815,-115.98009821315976,-121.2423634848761,0.887865373881751,-0.00929534011561883,-0.013732198126937203,-0.02302753824255603,0.002951315506462719,0.016822102209932323,0.019773417716395042,13,0
-107.72026326366307,-115.57973343309708,-118.83741038011486,-125.2823857920806,-131.37493107290425,-117.76825869894076,-122.79021623384072,0.8964287001877649,-105.16158235989099,-113.92146767176268,-119.13969215366419,-124.65492076293594,-131.916692061653,-117.22002346869388,-121.29408687644128,0.8885912892199386,-103.67295034944831,-111.9552514889009,-114.77948423467052,-121.57029397809698,-126.95126961942108,-114.239439602443,-119.48352741851816,0.8998684293974685,-99.498750624875,-111.79035419564453,-116.61088001536214,-123.2835639128745,-128.62808050519376,-115.05643014304766,-120.78804118380387,0.8944892102187741,-109.42097969175741,-115.52105106732215,-121.23467717920501,-124.5482773580831,-131.45589714065966,-119.03957417976977,-121.18122674972227,0.9055476153526666,-108.3798075977096,-118.41144596767418,-118.53323102019942,-124.82795794972489,-132.7570731829731,-118.46133073391469,-121.6144516906201,0.8923165289328484,-98.44570158651322,-112.32753989251084,-117.77352319856173,-123.75458247339508,-129.82855555099277,-115.70526456953768,-120.14537624082197,0.8912158352103987,-106.55012724213884,-113.6406264880127,-119.31649169908648,-121.44777947244599,-125.01442860545386,-117.29869033396807,-121.46750611567319,0.9382812179557554,-115.1826976595923,-120.33314993431003,-120.8055556194087,-127.54499580338931,-133.6045961418151,-120.92690234522856,-126.01727255157198,0.9051103467793147,-114.79310178219158,-121.53088334081451,-121.32465410508956,-128.52051554757668,-134.8482369999369,-121.49177079987527,-126.09570089104955,0.9009518663557472,-113.16304832036943,-117.39186451870069,-119.28598287258083,-126.21566533184718,-131.78737092206,-118.91826820315883,-123.19924348254027,0.9023494995851153,-103.82525119372968,-113.78461067456307,-118.27050112978058,-124.79978344924808,-131.08404685894564,-116.81626839290705,-121.90023955157704,0.8911554929228606,-113.50475563062318,-117.22573081077685,-119.08891451969956,-127.7795317899004,-135.387279539022,-118.58938264865108,-125.00986983578694,0.8759270668000287,-107.62512136535369,-116.55066419678379,-120.75173209592907,-126.87423577804967,-133.8667693411451,-119.1150387634327,-124.949038953969,0.8898028939495866,-107.21040294654011,-115.90736768307647,-119.07517310624219,-126.8157268045549,-132.74410045485533,-118.20967411529318,-125.12342018344472,0.8905079299964436,-107.14166349643378,-114.34800932449791,-117.43212287174936,-125.97772278072432,-132.09045851647804,-116.38428727824466,-122.45960704551636,0.881095338644206,-109.9482703714423,-114.63571767420179,-117.97595026060827,-125.90261948044278,-130.03404172586212,-116.81979360488597,-123.91485097039472,0.8983785480664022,-0.011266921329433757,-0.00012786466930161217,-0.01139478599873537,0.0011215206264405242,0.019251471944795224,0.02037299257123575,13,0
-104.48191750333444,-112.33446841232627,-115.71650214568432,-124.80258150956396,-130.8979204155465,-115.02410971720347,-121.92625217589666,0.8787313759611285,-103.59488058098042,-110.96425484389226,-114.00346612960801,-123.79600090177316,-131.24061592068875,-113.64191743241807,-119.59184071062595,0.8659050907006873,-99.28294680184186,-108.8686106996637,-112.15369908451899,-121.19500448035399,-127.15092551646492,-111.22571458373326,-117.5911040159121,0.8747534800234743,-101.42651695714706,-102.58227568517968,-112.20086506843958,-120.14436185274863,-127.20540852447627,-109.30733299829109,-115.93751508994896,0.8592978417050458,-108.40060403475596,-113.86136454890281,-116.3876206298457,-123.3950392994672,-131.50340057971115,-115.94780753095478,-119.31855986070741,0.8817095757206118,-106.26851248378334,-114.25230772799534,-115.51259881007019,-124.2076909766899,-133.20213014272883,-115.27232455591687,-119.305442491402,0.8653940025763867,-104.40975058274984,-112.09248729436239,-115.17036156491133,-123.58289444280533,-128.85418153643502,-114.60579833007816,-120.44017651211817,0.8894224228002413,-103.47553009279648,-111.77440828362694,-116.8064948611661,-122.50156069156871,-124.14837485194984,-115.45030906041241,-122.23301099875147,0.9299381421471679,-109.52574103910946,-118.00613738170104,-117.90282713094996,-127.519567961392,-134.33651047895634,-118.83258143638551,-125.49868101974874,0.8845888657722764,-107.99332701945973,-116.42879239659625,-117.59646853798432,-127.97760953044278,-135.62854431608318,-117.57638944640219,-125.00275846775186,0.8669000322851631,-106.48962824643648,-112.3209895425587,-115.68315820231612,-125.8410566875755,-131.75062374538032,-115.2560700805339,-123.09470576099085,0.8748047394695937,-98.26045709426387,-111.52316515175731,-114.81375133989684,-125.14012377925077,-132.07541480181752,-114.0511760183566,-123.1663973113454,0.8635307047075587,-105.47545732720094,-115.68232259716812,-116.26601553473988,-127.96213722893623,-134.15728476815076,-117.01366771921067,-125.45917338500568,0.8722125520163329,-104.1332625826338,-114.16277475028814,-118.3358231390603,-126.7728257449037,-130.24834589586106,-117.00730351098657,-123.52511451108559,0.8983400342338225,-103.61285774882833,-111.84919344549418,-115.19734475778279,-126.27159331874188,-131.55934587719167,-114.62025027903299,-123.57313221915093,0.8712436924551826,-105.09077132478453,-112.05927893258557,-115.7286110805042,-125.07524253384294,-131.89709139443755,-114.86965720565539,-123.36339611625925,0.8709036415529308,-104.27043613657875,-110.92313131544786,-117.70492845915477,-125.45859472253075,-129.40852829841117,-115.7074552868867,-123.71902634354224,0.894125424408426,-0.003773268614789842,-0.0048317705499919495,-0.00860503916478179,0.0032820788216524678,0.013447132156573784,0.01672921097822625,13,0
