mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,mean_Relative_gamma,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp1_Relative_gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,Fp2_Relative_gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F7_Relative_gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F3_Relative_gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F4_Relative_gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,F8_Relative_gamma,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,T3_Relative_gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C3_Relative_gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,C4_Relative_gamma,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T4_Relative_gamma,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,T5_Relative_gamma,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P3_Relative_gamma,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,P4_Relative_gamma,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,T6_Relative_gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O1_Relative_gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,O2_Relative_gamma,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-106.84789001323153,-118.57956735041596,-114.56734783653017,-123.78207081235071,-130.0547870456382,-116.11663043652965,-120.64998020073489,0.8928285768964626,-108.01567635604266,-117.34103498467397,-114.96449546763239,-123.62519950511432,-130.05926656714587,-116.04411973107875,-121.139642877861,0.8922403054700335,-107.05043777622782,-118.01896551034646,-114.91235655256827,-123.9705011705968,-130.21494697707084,-116.2338159976041,-120.91759290970036,0.8926303676802277,-101.6036070894681,-111.91568638139081,-113.62479304683441,-122.42766894116986,-128.06303982050383,-113.23397903687464,-119.11464926076766,0.8842049915071988,-101.33413181722673,-114.83116996841325,-116.06683486824716,-123.63681250226985,-130.13862902141202,-115.59749037689873,-120.68412173515179,0.8882642398044566,-107.24806552596118,-118.36288987863037,-116.64754060438203,-124.5265435946411,-131.41702318012307,-117.25206276747875,-121.82802728226473,0.8922136564208313,-106.45235453759167,-117.88145970746747,-115.79529425655639,-122.9009239095215,-127.55797079791226,-116.70997544526898,-120.81382384241124,0.9149563505535099,-108.63472706891378,-119.5699461126794,-115.91604024830104,-123.69423246305833,-130.2937203775533,-117.0529209919244,-120.31107034099105,0.898377302088996,-108.73701454390326,-121.22915680762958,-118.78085121623388,-125.90168267464387,-134.12935257263558,-119.41231848640197,-122.60629822035132,0.8902773046767385,-102.08141156676308,-118.45141599299912,-117.48521556183175,-124.02375533467693,-124.62505170519323,-117.62990086890123,-123.2316185452024,0.9438704278106189,-106.4110961184359,-119.10812663029628,-114.5430896746974,-121.34867497698625,-124.27157749133752,-116.37454705504057,-118.60350301448018,0.936453446590815,-110.53266867620826,-119.5268109239521,-113.26561816988246,-124.09706420483393,-132.49427807324898,-115.7498115306341,-119.6302331051547,0.8736212100166487,-109.29144143141127,-121.9647085973047,-116.72844395370026,-126.13026845643314,-134.29879412614488,-118.47849002150517,-122.46581995311597,0.8822006987659179,-108.83443760967117,-119.18229930447671,-114.2255263578574,-125.21906277264867,-133.0098169815993,-116.20023502507863,-122.27671583834048,0.8736214939770489,-107.45996864426482,-120.43314890585513,-110.83064448835071,-123.61997843665152,-131.89036069154292,-114.73179082306154,-119.96725451223669,0.8699027754680967,-107.66925854837478,-119.38132376785514,-109.33423308162992,-121.93742680230028,-127.30572504511257,-113.21126147443152,-117.50172259222327,0.8892864907239131,-108.2099429012398,-120.07493413268485,-109.95658783577727,-123.45333725206486,-131.10703930167506,-113.95336735229142,-119.30758918150534,0.8691628455592432,0.0024953582474460155,-0.005957457940860835,-0.0034620996934148192,0.0035852637809419305,-0.009572027652528473,-0.005986763871586542,15,0
-108.22080411208657,-119.24982643457957,-114.01091111099991,-124.44547712973026,-130.6657561388596,-116.28490468288085,-121.74532800659009,0.8899416964250673,-110.89154916646207,-118.06809855138839,-115.70330841338577,-124.54006247101249,-130.56582048946154,-116.56628463675227,-120.8256818642516,0.8927779429545328,-105.06780598446306,-117.70633428891558,-115.95656519275948,-124.67367393022741,-130.9254508681151,-116.39696980458835,-120.67288509034938,0.8890324152623184,-103.17762984684003,-114.5883458571567,-114.53451823918509,-123.85482755777446,-129.61476305708337,-114.90789502949775,-119.70299603817074,0.8865340052266377,-99.81380185891578,-117.0130372774956,-115.11865376094974,-125.49636375654863,-131.16684346209524,-116.16656413116986,-122.87377595773415,0.8856397018103117,-106.86635409230945,-119.78798511255293,-117.1606121493893,-125.40015880525465,-131.40741179271706,-117.85060542585728,-121.47823247490695,0.8968337768630252,-109.03013063320228,-115.15881779628914,-114.84055940303303,-123.3775019041171,-127.73134766024454,-115.25089012513551,-119.56181593507002,0.9022913500583578,-112.59356654953021,-119.22004644556795,-113.72644065795222,-124.4792612974843,-130.23054859256897,-116.60201675375417,-121.09155612729597,0.8953507300237815,-109.28640974101204,-123.4376037870345,-119.10360970538329,-128.31854237603847,-134.9815311039703,-120.91313126802278,-125.36983323331556,0.8957753722239878,-107.50195319903995,-119.70949134658048,-116.84572463059284,-124.5656358451895,-125.18301512955713,-118.27043525118172,-124.34924661756948,0.944780209429999,-106.63746648582344,-117.92744819686432,-114.1873186788757,-122.04015568057906,-124.48251223633542,-115.72591188410277,-119.10656180520942,0.929655979824637,-110.69810403169882,-120.73953729686404,-110.41352956426084,-123.45303457493652,-132.94868322318723,-114.89548644239441,-121.84704709912029,0.864209284792343,-110.58291684615929,-122.19512836786986,-114.94251351253753,-126.20091905132934,-135.3600635935429,-118.23693544992824,-125.005291120354,0.873499408252114,-108.47357457602529,-120.50393757666514,-114.84845374069971,-126.62245178113717,-133.2388288742353,-117.2483342774036,-123.52813323967072,0.8799862267483212,-112.08133151111372,-120.33195278781638,-110.18141261545482,-123.78288268057453,-132.00438837851567,-114.37394980245303,-119.93587596448245,0.8664405116176268,-108.2515337229566,-121.58786414470224,-107.31529615585198,-121.05146984422566,-128.76735277273517,-113.28171235910936,-120.49028127719049,0.8797393898362048,-110.5787375478331,-120.02159411950981,-109.29606135568714,-123.27069251925519,-132.04353698738853,-113.87135228474257,-122.08603426075028,0.8623773255605718,0.008790962811238433,0.002022159707533734,0.010813122518772167,-0.0003834447377415766,-0.009894172421810824,-0.0102776171595524,15,0
-106.26734214425151,-116.56665035341643,-114.25570927210323,-123.76623592503162,-129.87187726000326,-115.30558057370692,-121.1211536595778,0.8878410246035434,-108.00518185650185,-117.81240123820596,-116.10291231002176,-124.36235417707097,-129.68539042370674,-116.71076278302361,-121.7620711743397,0.8999530510083475,-106.20180958504088,-115.82513142056173,-115.49408832864148,-124.36709914402654,-129.77068359100434,-115.73985699568783,-121.40950018173842,0.891879843682282,-104.16419609402595,-116.9824863837233,-113.74599691366792,-123.56687468825776,-129.9906115295203,-115.20360895932123,-121.10740519824742,0.8862456111544563,-95.59180323785716,-111.1908800235138,-115.7913970261742,-124.39731162612034,-130.75539643532196,-113.69829024617516,-121.76305051291969,0.8695495049981813,-106.8272086174139,-116.00012268948562,-117.1028716479352,-124.73933826843874,-131.40157885803978,-116.88822305607317,-122.04499321993208,0.8895496087026004,-109.5047446506546,-115.34380276296444,-115.40960413762872,-124.38277591002077,-128.8561072900335,-115.70027561869145,-121.70900260256836,0.8979029248359143,-108.86909492706982,-118.70521735052313,-112.9558318668793,-123.92138754542502,-131.2053239824744,-115.99215486467665,-120.48854771777155,0.8840506722133483,-96.43721267859252,-107.7186399976648,-112.42596382697079,-120.6780819385665,-127.22624577645782,-110.67898823274625,-117.80910041807692,0.8699383335354732,-103.06798972870584,-118.29130765551662,-117.12086875543389,-124.76056110487134,-125.28753657416149,-117.74445769795956,-125.11944172355093,0.9397938607266257,-106.60372737458528,-116.75322787436589,-115.08058803860482,-122.73268723172208,-124.7472282893527,-116.10451822480549,-123.52775010918774,0.9307182196906183,-104.87014636924314,-118.33779952752974,-111.5223446086081,-122.54188827970447,-131.25087178318552,-114.62932139223982,-119.11965425897301,0.8733604572287871,-108.85394227762248,-120.68347012312825,-116.6727327529562,-125.31897628779568,-133.22341850848963,-118.28385054422921,-122.76073848519405,0.8878607970616788,-108.8587562813844,-117.56309999455151,-115.80953986880209,-126.99746776711294,-133.5767103289807,-116.21571028462853,-123.19650395252751,0.8700297379566058,-111.84141645570764,-117.6234637765799,-111.589574220005,-124.16634531543032,-131.85737412887187,-114.43662871738327,-119.40407914034682,0.8678819024982077,-108.4741773003397,-118.26723481461663,-110.272643656278,-120.39675847735643,-127.36691710805418,-113.23495306873522,-117.69661168518539,0.8890452531929478,-112.10606687327922,-117.96812002173168,-110.99439039504432,-122.92986703858593,-131.74864155239715,-113.6276884929341,-119.02000817268501,0.8624581411546756,0.005631201786232718,0.009317617653382671,0.01494881943961539,0.0013728475616219295,-0.004819301342485152,-0.0034464537808632225,15,0
-107.6105780405488,-118.6326041450569,-118.17069412793197,-124.57478018264577,-130.83659730539694,-118.2538142793683,-120.97533833632907,0.9038282614713826,-107.53080660047505,-118.29782719034681,-117.95255223712928,-123.86215066733361,-130.71076332606742,-118.04996250297755,-120.48824489863674,0.9031388043270271,-106.03014658137893,-118.68087757400042,-119.30571056641193,-124.67634273735493,-130.57235434300847,-118.69392376911502,-120.2410470105573,0.9090279819670765,-106.62390897853868,-115.58483575252761,-116.67139189329714,-123.27370518379776,-130.32104789610128,-116.29771142143701,-119.44545275833602,0.8923939248413318,-99.9933594178089,-115.57794259402601,-117.93376376972418,-123.69325006157963,-131.47765746246446,-116.64014464687365,-121.36235057280349,0.887148028783318,-104.29237283777385,-119.3394834228997,-121.2849342466238,-124.80983319613837,-131.14175094888896,-120.00880437502413,-119.71017291321365,0.9151075344555696,-108.65613451599894,-118.05358417140303,-120.96652610844394,-123.53173975707429,-127.56156308726631,-119.49185645874715,-119.91832512817797,0.9367387288677343,-108.81900388845659,-117.8309178590625,-115.67427246587287,-124.35316104602568,-132.15709701981177,-116.44662463203362,-119.94344297341436,0.8811227490459859,-110.23064572754026,-120.54126450657452,-118.38499173617919,-128.14551318011488,-135.27450921586967,-119.04984152882977,-124.27839791504681,0.8800611602208902,-105.52163759252629,-118.2034372299611,-120.93312157866556,-124.35646437963271,-125.3474095188764,-120.10985169208467,-123.82479059221055,0.9582156675842353,-105.50731651445543,-119.27219891078697,-119.10186625451038,-121.98749604279956,-124.51200642655141,-119.25638489684398,-118.51686371273767,0.9577902430412791,-107.29734825673967,-117.41771132244831,-115.72293288695705,-124.69258840283528,-133.21957519401545,-116.3166277531925,-121.2749817513721,0.8731196416427076,-107.96973319214406,-118.56744317427514,-118.4981202726785,-127.66575221000721,-135.00268968054027,-118.33672870970811,-123.76940756209325,0.876550896798655,-108.2782883091418,-120.5397519226758,-119.66186220939306,-127.20607313694534,-133.1024636299678,-120.2265170300463,-122.61293846154973,0.903262898005274,-110.47102272117085,-120.83295531176005,-116.86893821950314,-124.62473386483364,-132.63042198418935,-118.57119688060902,-119.4229737969992,0.8939969812864178,-113.2864795256695,-119.72940026528256,-115.41881397053825,-121.9808737611529,-128.12953660517556,-117.02789206658927,-119.99850564164734,0.9133560860928154,-111.26104398896194,-119.65203511287977,-116.35130763098296,-124.33680529470615,-132.22471054755604,-117.53696010578089,-120.797517692469,0.8889182636063132,0.014008814965921306,0.01459941290166523,0.028608227867586537,0.004493236542263542,-0.009603226000867179,-0.005109989458603637,15,0
-106.97100030487475,-119.44081335934538,-117.84410986733558,-124.70250718293255,-130.80425878114897,-117.95252384944335,-121.73992068814675,0.9017483448057445,-108.47602217689551,-117.38773724278319,-117.19000974349218,-124.33772685722931,-130.65889838920253,-117.09410851621685,-121.96149996637024,0.8961816604899016,-104.78442976909554,-116.45376907315737,-117.74808324987069,-124.46574251410033,-130.84910216703116,-116.93697344062018,-121.88761114375109,0.893678072711176,-100.4568609884684,-117.36989206986065,-115.66166446368157,-123.96986376923866,-129.0166645245269,-116.01739496753122,-121.02049618535332,0.8992434845149446,-101.8549629199505,-116.91121344799024,-116.70702823909706,-124.01217884528036,-132.0512419361217,-116.59850655423497,-121.6631449820876,0.8829792499084422,-103.86209831308685,-117.68573299700654,-118.5783926275083,-125.85192903846719,-132.45356822612058,-117.97299626356137,-122.40919519172112,0.8906743536131965,-110.48748456803207,-118.11757740491798,-118.05729891074084,-125.04579972013308,-129.07787424026625,-117.93905778097785,-123.40411497341303,0.9137046800247535,-108.6195341319839,-122.43646754322138,-116.79748772313549,-124.55163634803255,-130.96943642198704,-118.35436168165393,-121.48858891949581,0.9036792469680712,-107.79142214354266,-121.81317493221367,-120.01859587159485,-126.80789974140932,-133.37399720314122,-120.23632861271477,-125.18721781978219,0.9014975267599086,-107.63482848946458,-118.73118182256987,-120.8732039242774,-124.89540886833322,-126.14986123766153,-119.47443698853967,-124.70854558537778,0.947083380166819,-105.92571096808149,-117.16139944962121,-119.09424909368309,-123.71050920711177,-125.37800633909636,-118.2269531485207,-120.77730625689959,0.9429640540683429,-111.99702461224769,-121.88888893868209,-116.53817523225891,-124.80548727405403,-132.45448489128177,-117.99791726979677,-120.36747313345178,0.8908563373044642,-105.78463252897825,-123.24166625836756,-118.93460716257287,-126.81302685764531,-134.2291314624198,-119.71446003933437,-123.45840658512702,0.891866458011396,-106.3379397685564,-118.81242942418851,-120.51089984875418,-126.2456660236928,-133.2776756197158,-118.7301478786027,-121.82134023519379,0.8908479783019183,-111.38413282170794,-122.03771742220756,-117.36148194098658,-124.03759600051092,-132.42254757894494,-118.46663990476051,-119.32683623577465,0.8946107900101794,-108.70002801627177,-121.04861636755861,-114.4574358777436,-122.40535404842983,-128.64339957462363,-116.37509974488044,-118.78784136658214,0.9046332740715036,-107.43889266163262,-119.9555493551798,-116.97714396797166,-123.28428981325226,-131.86225068624242,-117.10499879914748,-119.5691124299669,0.8880858486011372,0.007953592626005517,0.00973650625299837,0.017690098879003885,0.007363003069023414,-0.003388060386894318,0.003974942682129096,15,0
-107.99887384797961,-119.1242360916613,-115.11460472824315,-123.71129127424172,-130.9179190228959,-116.1716741981297,-120.42331313964685,0.887362670176668,-109.10716553863196,-119.73241080355793,-114.39107638192273,-124.18271283125662,-129.74781444054946,-115.60819201853204,-121.39616450213917,0.8910222689839896,-103.67831372121401,-117.38546105176466,-114.19715535074096,-123.57468488052234,-130.49562039304058,-114.72991115471963,-121.42434938858933,0.8791859129767259,-106.86005830644845,-117.29126270041353,-114.84642776745196,-122.73892183101704,-129.34334248498547,-115.32817960939522,-119.1371586258554,0.891643724320661,-103.54256574103225,-116.11027326935762,-114.85517876435881,-124.5070476832075,-132.27831724008402,-114.62563049922875,-120.60884179085969,0.8665489015193941,-105.95718404411386,-118.35845554622513,-117.24000612532325,-123.93728892793399,-131.27096702158465,-116.85464845820606,-122.86899890759419,0.8901789261519789,-106.99461006219806,-119.58089889280308,-115.74661288248691,-122.98791712092701,-127.66287786334152,-116.65984999542746,-121.41608143111286,0.9138118452907478,-113.6209381784253,-121.18940020284505,-115.84726546363822,-124.09199514976086,-132.51417630718083,-117.50152586384047,-119.95086025411366,0.8867090988926379,-112.32783008231301,-124.91277386950567,-118.79794814255128,-127.07177576164655,-133.88852709775404,-120.21954016055946,-122.74160611216688,0.8979077055107594,-106.58177934641841,-120.24824274342335,-118.53234377925308,-124.88293953652644,-128.55002422509,-118.98596981498811,-122.95920950226476,0.9256005242491802,-105.98208291982641,-117.58372785937756,-116.88506556587049,-121.86199838345931,-126.3543540604901,-116.7827714321112,-118.53271155796203,0.9242480981399608,-105.0346152971802,-117.83951707080958,-113.18397211290042,-123.5530103455616,-133.2707656628294,-114.84009005093276,-119.27262573905008,0.8617050369581755,-110.67798099920158,-121.09155618354107,-117.94177267300883,-125.85883792595054,-135.0600906438189,-119.01710656727265,-121.2956565215296,0.8812159535798411,-104.9944638018577,-117.02202355538596,-114.9845070248146,-124.25085139657118,-132.35382091414746,-115.55679354432755,-119.88643661523025,0.8730899700982908,-112.1331654755738,-118.6190624572976,-112.0866716442305,-122.24458010741907,-131.57276605236942,-114.12039058579204,-118.79694549492444,0.8673557150905311,-110.11405167186709,-119.3050851155047,-111.01000800737289,-121.60404211840566,-128.90324973742693,-114.12500831300041,-118.36390496401464,0.8853540042277486,-110.37517638137177,-119.71762614476819,-111.2876639659654,-122.03205638770169,-131.4199902216412,-113.79117910174104,-118.12145882694276,0.8658589831716698,0.010275212568920708,0.004459200394038431,0.014734412962959138,-0.002293305466508914,-0.009066723147149694,-0.011360028613658608,15,0
-108.83253618047344,-119.30473159348803,-118.37947140976786,-124.8757587232486,-131.01419957326695,-118.61639742502149,-120.73889328309463,0.9053705461802845,-109.49872932148087,-119.23145065356319,-120.3166603158892,-125.1894915762274,-129.7343730862543,-119.5951175328791,-121.19360997906892,0.9218460357716141,-107.37613009106624,-118.17450824286028,-119.172227420666,-124.8756371247186,-129.694068403657,-118.65205532455265,-120.82737393455048,0.9148610787292335,-104.89081930701657,-118.84007091799407,-118.12902014384913,-125.08960882051994,-128.85744074372644,-118.32166063814495,-121.55510892000773,0.9182369287735955,-99.6192267803224,-115.27955684739074,-119.55580282470704,-124.96824944261783,-131.96024480483644,-118.23025182353166,-120.98939398704053,0.8959535653968296,-102.61197734143357,-117.918054609957,-118.22040979033738,-124.78955315475693,-131.14781254408211,-118.47081136788145,-122.07079037665531,0.9033380661843704,-110.35490616203384,-119.06842272549049,-119.47565664555147,-124.62244820652755,-129.148230908087,-119.10988915318573,-120.63753754803203,0.9222727118728757,-109.9304503940769,-120.76059992151181,-118.17149025982454,-125.02257915718164,-131.48328301281128,-118.99773854611837,-121.5662741666229,0.9050408220680315,-105.07366681314537,-118.67490657249465,-119.61390990782608,-127.38009165328583,-134.415741709804,-119.00314803287931,-123.69014102630875,0.8853363937819158,-108.84295404754074,-117.35993261423845,-121.60335280592776,-125.32303849693126,-127.40323884154878,-119.69547159146249,-123.79827697276964,0.9395010101770456,-106.90613640734597,-119.00745838704945,-118.50490129913088,-124.14714402843578,-127.45358247570633,-118.50452133189953,-119.04175780576267,0.9297857230061575,-113.64053404569876,-121.23078338786655,-117.08400791896958,-125.0614021777406,-131.9255760309892,-118.67557252312683,-120.43409401739858,0.8995645582419141,-112.33195222542491,-122.56011929751007,-119.9170007079369,-126.2734483144071,-134.01279677499903,-120.82630440368445,-122.68682419425379,0.9016027372859469,-110.47470967537363,-120.12522154768946,-119.00650577218894,-125.94293943964792,-134.07993836223997,-119.21406786338791,-120.86444146104566,0.8891268098685327,-114.17557167636546,-120.87282488063325,-115.82473192908907,-124.29482684184958,-133.83739957130155,-117.60441799141985,-118.50062767701444,0.8787111701820416,-113.31285409125528,-121.24764940162164,-114.3757001141579,-122.28222163012482,-128.39905594639697,-116.7160895812749,-116.98551586760583,0.9090104963855857,-112.27996050799477,-118.52414548793759,-115.10016470023385,-122.7494595070051,-132.67440995583087,-116.24524109491459,-116.98052459537695,0.8761692713283159,-0.00561617589784575,0.0014087211534289828,-0.004207454744416767,-0.0007154782993865917,-0.0035134089228558213,-0.004228887222242413,15,0
-107.23963759297203,-117.88426825328895,-115.57618890790309,-123.82921786717034,-130.099748391791,-116.12178952276524,-120.26052287581373,0.8925596779254975,-107.81508098437776,-117.73474136240837,-115.86939766506967,-124.30007009881162,-130.6047840081154,-115.98073982016922,-120.25975034218102,0.8880282655875954,-105.45664379857155,-115.93989303160863,-116.5114118354739,-123.77944732166145,-130.80301091637835,-115.74213395533206,-119.07841741690606,0.8848583311994659,-96.91696319299142,-114.55479612841107,-113.87371872069848,-122.14358601878139,-126.39981572850063,-113.69671965802141,-119.48391832209222,0.8995006757148704,-100.6364988762975,-112.52017224265298,-115.57854023324671,-124.02078646432525,-130.48815558420785,-114.0304552683819,-120.14293864394858,0.8738759066511189,-108.98758693988846,-118.4183738573904,-117.17221046914783,-124.6845768240324,-130.44378541489124,-117.16533266566557,-119.94357708703883,0.8982055549293357,-107.83123702082379,-117.02930898084719,-115.99603118421587,-122.5658085184529,-126.18387976245756,-115.99697670281398,-119.5670113207922,0.9192693783166239,-108.7092526224566,-118.43428711976674,-114.70240066734402,-124.08747184687573,-129.24082057997114,-115.9402649562532,-122.2720920368933,0.8970870382590316,-109.76999004667108,-120.13605947754463,-119.75552965244452,-125.85211709676878,-133.1389439655976,-119.51785950366482,-122.74208442663742,0.897692710665841,-105.67815330645315,-116.64429495676721,-118.73548770002313,-124.42955143221104,-126.33957653964957,-117.6514242872275,-122.36622683277604,0.931231744712272,-98.22107457904976,-116.29739096887232,-115.41947120605687,-122.40792348964993,-125.65202689823602,-115.5853880480077,-118.20201392812612,0.919884787386827,-112.00236509427154,-118.22404305158715,-113.84488630107813,-123.65204423233247,-131.4838485277536,-115.44324584551181,-120.4600335907881,0.8780032463161744,-111.23879450821892,-120.39309132383089,-116.98093752532256,-124.97849218514169,-133.20242788357803,-118.13429612570768,-120.97080994158927,0.886877949619355,-111.0419078552082,-119.67017787554596,-116.24290791511082,-125.86115880886072,-134.12328875008532,-117.45717084058694,-121.70565117227119,0.8757403127763091,-110.93761240401682,-119.9437649704107,-112.75373571605462,-124.26876545151796,-133.11832887060714,-115.17644929195883,-118.9333650485864,0.86521856358272,-112.0676067324201,-120.74148430198134,-112.13214074479404,-121.51297715659521,-128.0938569800823,-115.10213736488623,-119.07015143009755,0.8985765600202342,-108.52343352583563,-119.4664124029975,-113.6502149903682,-122.72270892870674,-132.27942385854413,-115.32803803005497,-118.97032447229535,0.8718516808281801,0.00684711104514912,0.003116046870622255,0.009963157915771376,0.002668982891766304,-0.0068137108806142575,-0.004144727988847954,15,0
-108.7837997889203,-118.389504425567,-116.95425485930343,-124.3155212852473,-130.6545992788743,-117.26652807219062,-119.70589445686896,0.8975308080957208,-110.37279237116437,-118.11073061023798,-116.46366089552458,-124.46751139927312,-129.7665762136017,-116.7968890229827,-119.45925782974948,0.9000537151471862,-109.30084223518026,-117.22812361737105,-116.04903447295621,-123.87453975963568,-129.67222559099716,-116.32953271911288,-119.1155452359996,0.8971044661948747,-106.27429818151282,-115.83245614120699,-114.86058167982526,-123.94309370354458,-129.41252981460457,-115.25561070084326,-119.67504703660914,0.8906062717880379,-104.96615861102327,-115.22748532141736,-116.46481691646377,-123.82496216646408,-131.39387888301042,-115.47304309380735,-118.69701367978786,0.8788312216326413,-105.729423109647,-115.55810368206575,-115.95157705704008,-124.02146856305126,-130.62883802141562,-115.769041133338,-119.64224513846514,0.8862441317464567,-108.18269559071534,-117.10301177028066,-116.76246482740329,-123.35001894307254,-127.93015343046685,-116.65078106991106,-119.19537421619131,0.9118317921295515,-107.91963628461338,-117.4278574036867,-115.05880199314423,-124.44851858269321,-132.2441483695475,-116.56406234869468,-118.4770370505095,0.8814307762258344,-110.0438986172578,-123.80464618973735,-119.75056781288497,-126.96062389855118,-134.88544365078786,-121.2332520458459,-121.87770498825722,0.8987867687169652,-109.15026985994876,-117.57266972507,-119.64377560733188,-124.55144754367942,-125.13144431937582,-118.3528681878067,-124.25309594072667,0.945828355387092,-106.16294450435346,-119.65662654797273,-117.5571603284848,-123.06179784597131,-126.17071279970749,-117.98224184463395,-118.43759637166866,0.9351000658284897,-114.3730050360638,-119.94526311952286,-114.9964050313036,-124.36262226355997,-132.0006308401423,-116.90175289337496,-118.58891326999591,0.8856151076652607,-111.24151828096977,-121.34446956709097,-119.13315533281278,-126.43386131967257,-133.69663861226178,-119.59907069685902,-121.42872426444713,0.8945555545619392,-105.44507134818235,-118.01313205744061,-119.90070208229157,-125.66446117935044,-133.8923312872331,-118.68744540617905,-121.34258880461027,0.8864394567270943,-111.1092755701799,-121.14077103122163,-117.17591859464052,-124.41659972507114,-133.0992545707192,-118.31786063659466,-119.46783501608056,0.8889445776251828,-110.2029736221296,-118.54565587306267,-114.97960020890213,-122.05597667788382,-127.4016251411444,-115.9346282162069,-117.74915408506656,0.9099933229875714,-110.06599339978304,-117.72106815168657,-116.51985490784546,-123.61083699248256,-133.14715691697293,-116.41636913885901,-117.88717838173842,0.8743436347758683,-0.0022082773536285165,0.010740270402794572,0.008531993049166055,0.0007928554629928776,-0.005602678533690808,-0.0048098230706979305,15,0
-108.3405903328549,-118.18802653192256,-115.54923431276558,-123.8313612607457,-130.67003262979858,-116.43031909833728,-120.44576434285062,0.8910254077015206,-108.29636587574524,-116.92484227193114,-115.89578242585861,-123.60541963885964,-130.9912139315963,-116.12268698555067,-119.58572595285386,0.8864921814236337,-109.77673640134832,-116.97064472698325,-115.86512517131914,-123.7429211976677,-130.63517261633336,-116.00581370292394,-120.38390215117244,0.8880136289452852,-105.03706182577025,-116.53608418121583,-114.11743453191676,-123.06152992955624,-129.98121990405568,-115.11909747546929,-118.99818296441293,0.8856594634243569,-105.44056576335683,-116.11803326947809,-116.38174519244554,-123.53761366912177,-130.3832109797149,-115.99330982919953,-120.06558570028551,0.8896337876449893,-106.40524563621901,-116.78390590071184,-117.1243346432514,-124.61106699189446,-132.1069675023684,-116.71635169789137,-120.48840484784523,0.8834988335933067,-110.18154674662473,-117.64971609078843,-114.90744293480981,-123.5153576591278,-129.0206591665774,-115.89138018222599,-119.87600875093626,0.8982389404211591,-106.77405624759142,-120.68807162451775,-113.96310679738592,-124.09101030611582,-131.1482659507928,-116.67459559923115,-119.98353362107612,0.8896388736318314,-105.46972248301061,-115.65899418278308,-117.95283319995626,-125.73338948460429,-134.2422263819764,-117.00395413039892,-121.15155476895617,0.8715883018616867,-105.11830016132218,-116.42408394221825,-118.12725393407402,-124.6177000188851,-125.30215723349698,-117.63151563350723,-125.04908880000262,0.9387828448500234,-106.71702528282468,-118.60645658305828,-114.04054411998332,-122.75063173246014,-126.45289990779392,-115.92469396724687,-119.91108917152522,0.9167420759174053,-110.90749793357782,-120.30847806454666,-114.50134840756091,-123.64589793621823,-132.31128904251,-116.73393321941846,-120.26232063715523,0.8822673716217312,-105.50221312767691,-121.21584220587738,-118.89873502366403,-126.1960927917497,-133.2671933419379,-119.35349561130963,-122.94323947690907,0.8955954771634724,-109.67980394038588,-117.74775254081509,-117.45581034016348,-125.75183551277426,-132.66197100974526,-117.25533285536643,-121.80197141576387,0.8838654511378617,-113.17954332062514,-120.06696275781191,-113.29084729580077,-123.33514300290723,-131.33738397710755,-115.67326213218027,-119.3990015739542,0.880733715180001,-112.48946059892211,-119.23394638057168,-112.7488343613833,-121.15388910272887,-129.7718345748786,-115.1369673570908,-118.96385167887331,0.8872261668664054,-112.47429998067739,-120.07460978745274,-113.51657062467613,-121.9522811972601,-131.1068565558918,-115.64871519438609,-118.26876797388795,0.8820950958051855,0.0031801718025002952,0.0003396319413563627,0.003519803743856658,0.004325847390819236,-0.005430115286002725,-0.0011042678951834889,15,0
