mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,mean_Relative_gamma,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp1_Relative_gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,Fp2_Relative_gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F7_Relative_gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F3_Relative_gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F4_Relative_gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,F8_Relative_gamma,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,T3_Relative_gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C3_Relative_gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,C4_Relative_gamma,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T4_Relative_gamma,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,T5_Relative_gamma,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P3_Relative_gamma,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,P4_Relative_gamma,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,T6_Relative_gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O1_Relative_gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,O2_Relative_gamma,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-103.46302442471516,-114.28262947042293,-115.93124603804081,-124.15319527594977,-130.5583523366595,-115.25560940053323,-120.92964113097467,0.8827900118050936,-102.49261365353948,-115.5168134549898,-115.94820133197868,-124.24825465729288,-130.58628663579117,-115.6650897786945,-122.00567691699572,0.8857368775734292,-90.86030251082782,-107.53288382198252,-113.79401061622988,-119.07322225014954,-124.65488992010076,-111.33516849972878,-114.7519300868213,0.8931472208678742,-106.792257766152,-116.16906029961588,-117.1294248644856,-124.65522100843998,-128.3706718358762,-116.39978912451473,-122.49156175406358,0.9067475262054683,-108.73568505057133,-116.72832064764545,-117.88254730948269,-123.84628252287685,-130.836633810422,-117.26444336510093,-122.24747421405186,0.8962661293702593,-108.38456697114182,-115.1164993199949,-116.87495499835582,-124.65172021119282,-132.36771407217196,-115.79821603312283,-122.21137287058207,0.8748222090621373,-99.54183740648935,-113.75288321887246,-117.13032176245096,-123.74532428615267,-129.48379321849205,-115.33888978815204,-119.93774227405405,0.8907592751281871,-104.39893798159797,-116.51372844334473,-118.1592831870388,-122.03065789845117,-124.6794669536492,-117.14184362156104,-121.37853199973293,0.9395439881460967,-111.53085303654342,-119.4737432544229,-118.97188689762737,-127.71551009768267,-134.17356786432507,-119.18404512212189,-125.51140519134535,0.8882825955902102,-109.22796007384594,-119.1716275355484,-118.07641235657067,-127.58234277825046,-135.21828304317188,-118.00310601454986,-123.08739373971507,0.8726860255789105,-107.61035514940858,-115.81314900630571,-116.12749818563063,-124.71545929980405,-131.68709979854563,-115.79735815136668,-120.35074296901371,0.8793371433383603,-89.70198000946542,-110.11083675250461,-113.34172252650859,-120.43319382686035,-125.48529527491777,-112.28699143859855,-116.9759318855761,0.8948219087550944,-111.44306563753284,-118.31225559952561,-118.15283767856539,-128.48790705768872,-135.21270174714024,-118.79287881282887,-123.91581485805267,0.8785630142572116,-87.94693223287007,-101.07388255368342,-107.14920423617703,-117.27926180656175,-127.20295254327382,-104.9906455709295,-112.51452157553494,0.8253789984569123,-102.68146598392713,-114.40854594104805,-114.7352005815434,-125.16240224356885,-132.39662501099295,-115.01365985707363,-120.74263522616552,0.8687053755903823,-106.3119786849212,-114.21367537839592,-114.01006128894869,-125.95131021689889,-134.29018525245988,-114.63041927986946,-122.15568717672113,0.8536023616645484,-107.74759864660832,-114.61416629888674,-117.41636878705873,-126.8730542533244,-132.28747040522163,-116.44720595031845,-124.59583535716854,0.880258769735475,-0.004292055850064424,-0.008672213555985039,-0.012964269406049462,0.003241223991558258,0.010880825327012969,0.014122049318571226,13,0
-103.19331477635107,-114.13588937747905,-117.08028306234635,-123.88591714982019,-131.37533178200508,-116.06277810416412,-121.32729396487733,0.8834442244968065,-97.30838517167223,-112.98276269103327,-117.76306390396144,-122.1932943036871,-131.4838042005741,-115.57527992754929,-120.86792094331156,0.8790077274554903,-87.31296376371779,-106.90343100940616,-112.64179952539223,-118.76005309636483,-124.96120539906859,-110.97942086581514,-117.20903057733858,0.8881109982205913,-106.25104194900132,-112.94479179362041,-120.54899605051182,-122.67049753785349,-129.47743116409163,-117.04734740773412,-119.60663046762402,0.9039980663455982,-105.76737140998864,-113.08503387990127,-120.06929435813377,-122.53170425997595,-132.1909624527164,-117.07745419005488,-122.73214890454778,0.8856691260715535,-107.3595725006279,-115.70350220558002,-115.90176960530448,-124.0972415046587,-132.7912342254918,-116.1008416643361,-122.65590580806683,0.8743110367299256,-103.73634863750603,-115.93881893932473,-115.56707037239399,-123.4899782186442,-130.3360477880979,-115.97484017026139,-122.42729642352043,0.8898140011028634,-103.32887507097564,-115.96205873563027,-119.11351005880711,-121.29441666432534,-125.15639643893392,-117.7873147970209,-118.85934528973493,0.9411210145738853,-109.07332436613439,-117.54314567993286,-119.2963086044353,-127.32151626007878,-134.4708449617418,-118.60981722472148,-125.62916965254588,0.8820485753507913,-112.2637708625902,-119.44228043313603,-117.22340519640971,-128.64426388884144,-136.01030349058604,-118.5733181829614,-125.09440535719587,0.8717965855518326,-107.27841653536959,-116.39126709123705,-116.07644831686846,-124.9549601452091,-132.42875415691077,-116.41734155266505,-121.19579549659859,0.8790941385337335,-83.8911172924646,-106.46256424864355,-111.41944296914325,-118.0544760746028,-122.75717037145122,-109.68869362299029,-115.14660932008482,0.8935420496504033,-111.77477065576261,-117.73361460276443,-118.01899038705808,-126.76298831055523,-134.46161051346593,-118.43665526609327,-124.41409748526746,0.880821334906086,-100.66626452153206,-113.84213639271378,-118.40882163841691,-126.36504445524331,-133.48481652647496,-116.89092518835228,-121.74897217318936,0.8756870498838234,-101.65177516998394,-114.24434864604802,-115.45264642970099,-125.59151482907325,-134.08482466950272,-115.12931251403279,-121.61506081188092,0.8586304438090426,-105.44872232596121,-113.55747820640856,-117.8056583111984,-124.30019548649162,-134.5199465917284,-116.53476453561383,-120.33774581215607,0.8663010021056574,-107.9803161883288,-113.43699548428454,-117.97730326980576,-125.14252936151797,-133.3899555612451,-116.18112255642407,-121.69656891497384,0.8709885393363093,-0.017661168631570086,-0.012913228791373221,-0.03057439742294331,0.0063477433268387855,0.014865188811076936,0.02121293213791572,13,0
-105.48846234068415,-114.30586710543257,-119.7681279139611,-125.53471640781794,-131.84659606844684,-117.78981703705449,-121.99780740095987,0.8933853474374498,-99.49335895121234,-114.59662023544634,-120.49628302386019,-124.71943866658391,-132.1263100999244,-118.20099732261409,-120.05136577508978,0.8946060571374551,-88.91612574148672,-109.27957624136502,-115.21706767237342,-120.26577778019333,-126.47407897986815,-113.20849509001368,-117.41865214707394,0.895112231716935,-107.66403114375228,-113.42796627721879,-119.09162905399334,-124.52599844929856,-130.7902197595551,-117.20095303754806,-121.41554382725134,0.8960987545782126,-108.12978678205005,-115.39343274596928,-121.71516105361245,-125.7196347840338,-131.7675088430849,-119.38240220553388,-122.14186629643503,0.9060078865701271,-108.94947295547551,-114.19501427966954,-121.25823063122289,-125.77371261279592,-133.53204894739318,-118.30184343246265,-122.12945053920188,0.8859434447760876,-108.6121344570054,-115.68177445085503,-120.52596719267329,-124.07310291887391,-130.2684946673645,-118.52255839471997,-119.61384383828675,0.9098328701606837,-106.44862921532312,-112.98221056002414,-120.29012699821332,-123.04636450961819,-125.59213153467496,-117.79113052203108,-123.04978248308524,0.9378862280835636,-112.78443716629954,-116.41538133095766,-123.43922776129666,-129.33960740215392,-134.86571447827438,-120.88141742113622,-126.53266389002093,0.8963094726392384,-110.81189639442242,-117.58893490995234,-123.08143026303716,-128.9784695928641,-136.4631366360914,-120.69616099111545,-125.12314869911356,0.884459817987168,-109.96380641186084,-115.20008264154801,-119.6032805615555,-125.43469611091916,-131.70002066080266,-117.90450767088663,-121.26630690207779,0.8952504872763324,-88.03974755071215,-109.37845952429218,-113.87098696122682,-120.32573317570191,-125.36777908047705,-112.0583535484171,-117.48001907939766,0.8938369521285349,-111.3173403778632,-117.03888989068467,-120.74388526116667,-129.10974461848303,-134.80007654375189,-119.58197289402541,-126.04519503887511,0.8871061201156873,-109.23051369260082,-116.94640093720638,-122.27843297031163,-127.96151334784636,-133.44398955485423,-120.29424828693674,-124.08241192479352,0.9014587220317474,-104.29396522590089,-113.50905301097283,-118.36733249738697,-125.86642651036097,-133.5730609757461,-116.73480789201196,-121.48945694011053,0.8739397528159395,-105.47722520379989,-113.91635914633746,-117.7646311861555,-126.79532449756591,-135.26591160843665,-116.63751868677069,-122.32885162101078,0.8622831672802322,-107.68292618118116,-113.34371750442143,-118.54637353529174,-126.61991754779423,-133.5150547248499,-117.2397051966483,-121.79635941353415,0.8781010159360522,-0.0018805780304629123,-0.002863131770249688,-0.0047437098007126,0.00021502687574788575,0.009611724915116436,0.009826751790864322,13,0
-105.16034081754894,-116.30265009747102,-110.78347166737761,-124.43147960410228,-130.8949960406591,-113.9099432897441,-122.86830182638637,0.8702390980199195,-102.11448827670986,-115.74568631821671,-111.12929941679104,-124.0345013658423,-131.5691010124805,-113.61899816679147,-121.78901157136656,0.8635690089272078,-91.8874976086442,-109.18407698293072,-109.03862352936399,-119.93428949450244,-126.91201258572488,-109.66901817538239,-117.67020994009766,0.8641342607446603,-107.40493186702349,-116.04753184891662,-111.89674337390169,-124.10797054605813,-130.34228915984332,-113.99306232550245,-122.29669073013643,0.8745669809873353,-109.70926174249453,-116.86377674986674,-111.87511396200335,-124.5620408441006,-131.52176350571543,-114.49453765223006,-123.28843323346845,0.8705368191573448,-108.77087095294479,-117.67350247725842,-111.9991058343596,-125.80141572734662,-132.33760938875417,-114.98599747900214,-123.63991882453371,0.8688837437075047,-97.93942725104246,-114.17029282105534,-111.87105495650403,-123.60436586613503,-129.51915570281565,-113.76217188030485,-121.39062368141623,0.878342444891584,-106.59266471107347,-116.80461740615465,-112.17767460965388,-121.38477216034889,-125.02919602606079,-114.81023485594164,-123.13309525827324,0.9182674007758226,-114.94109868950919,-122.23121734680758,-113.43881766043464,-128.19519056087265,-133.8202457506486,-117.7531554241248,-127.18822432615656,0.8799352800736735,-113.45882793877965,-121.7350604859394,-115.22244892940215,-128.61252674799044,-135.8001672462844,-119.05396362456541,-127.17867009300812,0.8766849558340498,-112.07661536325361,-118.93176925447517,-112.61690687808891,-125.55834611551381,-131.58518944720612,-116.12355704637396,-124.41414016470094,0.8824971680643772,-93.4553630548499,-113.75948646805575,-109.44687552128838,-122.3741242520449,-128.321771327428,-112.15754628199335,-120.19789340228932,0.8740336508900759,-110.36319549450988,-118.0534807753974,-113.03067641538738,-128.54874624006732,-134.927483966687,-116.25674439286121,-125.61216389964574,0.8616238958518229,-109.37446247827732,-119.51402503110357,-110.4156078277999,-126.56296727856446,-133.86671587010875,-115.17359173282608,-126.18181815572987,0.8603601797819508,-104.7822065898421,-116.29838978029727,-105.37660894651633,-123.81017122116033,-132.028862820762,-111.35870988156584,-123.14443298105954,0.8434421648601392,-104.10347699609476,-116.22944745073512,-107.64386097496647,-124.68900525281344,-132.36431761951246,-112.19593911564276,-121.95863530719846,0.847629792782639,-95.59106406573399,-107.60004036232584,-105.35612784157999,-119.1232399922752,-124.37405522051289,-107.1518646007972,-116.80886765310079,0.8615290738154266,0.0005538461394484195,0.0019539272945463962,0.002507773433994816,0.004950302652864771,0.016900952674059066,0.021851255326923835,13,0
-105.74026838743995,-113.9093503350004,-116.81062123120526,-125.26734430207468,-130.94444976116068,-116.00260453850034,-121.98968513241275,0.8858917254613397,-102.70799335246282,-112.74353792577067,-116.04665847202459,-124.49956499650652,-131.98517486334228,-114.95192247528936,-121.14157402046811,0.870945714882833,-94.40529913577903,-111.27908459959747,-113.0272916525818,-121.82631357206984,-125.61094829677094,-112.56638245645675,-121.51595569658919,0.8961510440197072,-105.88977669724406,-112.3543016792425,-115.78642335854983,-124.7065485371127,-130.08222187661107,-114.66203478244321,-120.55785021705043,0.8814581510700624,-110.64911691764682,-114.20208913533223,-116.81937304536962,-124.81043459523195,-131.0375990117211,-116.31134803981702,-121.07604016398741,0.8876181257671941,-109.58296801993981,-116.31560542090097,-120.09603486197278,-126.2656570296161,-133.85068103832103,-118.70747963089492,-126.3815355738566,0.8868649655724153,-108.38087475085246,-115.17414674393918,-118.99207596345218,-124.74758021765122,-129.5828717044206,-117.56854969367545,-122.540084654663,0.9072846445466196,-92.52157444390241,-103.8381146111089,-109.91844052723536,-116.08998591293707,-122.76159956558098,-107.95801054660492,-113.14214686933967,0.8794118920626497,-112.78843811656569,-116.95603436050253,-118.03365777637214,-128.3903415233839,-133.578538805605,-117.65600683661245,-124.4862970849664,0.8808002235137158,-115.90853607224261,-119.60035735373195,-123.29000972092285,-129.473998684695,-137.20312269901663,-121.79281480793988,-126.13306213903763,0.8876825280071617,-110.76334445600634,-116.05433555916932,-119.32574417682906,-126.17762825057306,-132.91189040699703,-118.1591557129562,-120.9451527763371,0.8890036500958218,-96.8589816047339,-111.9862285414606,-114.53470543138926,-123.45874218227551,-128.79249306641148,-113.5051587317078,-119.92042182517494,0.8813025979175602,-113.38968995399983,-115.98551110813234,-119.56201300107392,-128.5931506914866,-134.32929480781075,-118.30436780865267,-126.14436752413724,0.88070415301379,-111.64446963801001,-118.91702101459846,-120.191686205553,-127.50916705564993,-128.8779028155896,-120.56645587589303,-124.82539808784708,0.9355091388196364,-103.83383582434024,-114.79381053718582,-114.92888297245719,-126.09281038046784,-132.2129724673449,-115.77632890692124,-121.93120131965652,0.8756805534760718,-95.709553635286,-108.2195926102366,-113.37750632599094,-125.59281898193298,-131.3900141373643,-111.73377217098526,-119.62272138905726,0.850397748295932,-106.80984158002707,-114.12983415909689,-115.03943620750977,-126.04276622160486,-130.9038706156631,-115.82188413915532,-121.47115277643573,0.8847857866572268,0.013830513792014188,0.041036171372188845,0.05486668516420303,0.005795941879478111,0.041638426879573316,0.047434368759051423,13,0
-104.57154080764622,-114.27381795886897,-116.07482488020243,-123.67558558436349,-130.59807722914712,-115.56438838997217,-120.14038866359901,0.8848858332516115,-99.82262219122258,-112.47789715432945,-115.55887436581749,-123.38201477551836,-131.69553278660882,-114.07474005767462,-119.10888039108863,0.8662005281721603,-92.56402359595994,-110.54448209702788,-113.28558602285032,-120.07742890319001,-125.11064431211967,-112.18440694552338,-117.74180342964507,0.896681553854454,-98.46870547674973,-111.5759068152276,-116.38207191418829,-122.35270904643951,-129.0853527168892,-114.21330865763018,-117.75333135572095,0.884789065945565,-106.71618830660731,-114.08938300127447,-117.09144345869367,-123.4390248055286,-132.52701613203214,-115.58178825414628,-120.07709848441704,0.872137558269599,-106.47887079926528,-115.3600314957066,-117.35256893787998,-125.37882188905967,-132.35137158166225,-116.35946254097891,-121.85424362017835,0.879170809870934,-107.78170704191707,-114.38019058824337,-117.02704897802971,-123.53774204479602,-128.25282981172919,-115.83058167991281,-120.00811921944273,0.9031425025860886,-108.46214375630812,-113.42019394845367,-117.1206674912681,-120.4965606578904,-125.42631512260178,-115.60042061395055,-117.82668332270939,0.9216600240623619,-114.24783703845091,-117.12993310137956,-119.91596282930946,-126.33138096383924,-135.07122606460143,-118.73439969213207,-122.45923482941714,0.8790502844428477,-113.56454771242056,-119.94875026226323,-121.43416019148549,-127.75227906251921,-135.78430814603172,-120.86303483499803,-123.83480056673204,0.8901104736271416,-110.5201258393559,-115.3222133931921,-117.17344114124197,-124.63481100410466,-131.7160808943596,-116.763580947239,-120.46867814212133,0.8864793133412998,-90.20678767035844,-109.60141230789627,-112.48294303850133,-121.30842578139382,-127.31255259123415,-111.68266020696727,-117.98958924395089,0.8772321183878058,-111.15129680443562,-117.13641247607173,-116.76135475544103,-126.8521958842872,-134.03835200435967,-117.57511357164958,-124.08510681033862,0.8771751652678137,-108.71524063893293,-117.67119434820738,-118.78713281616274,-123.21831898511533,-126.52698559495109,-119.05669686220833,-120.85795549184186,0.9409589290567841,-102.17567528209953,-113.20159895994611,-111.91314178940813,-123.21164365890496,-132.79175001437812,-113.48077712247145,-118.26217141220333,0.8545770133324113,-102.98092638704817,-113.23812864990578,-112.04139491609136,-123.41277161820108,-131.91903101758766,-113.22579905022953,-120.15517993841281,0.8582976859126117,-99.2879543812073,-113.28335874277873,-112.86940543686967,-123.42324026902783,-129.9598868752072,-113.80344320184261,-119.76334235936417,0.8756813039635941,0.0011138074140473163,0.0002252453136013233,0.0013390527276486396,0.0077960528527202776,0.01688176555353504,0.024677818406255318,13,0
-105.40806558608818,-115.30926205432407,-113.72589206129821,-123.65215339875373,-129.99318833493518,-114.67449954801724,-120.26257277818675,0.8821577577784427,-103.75775101205535,-116.06864895540157,-112.9650105809479,-123.30352858849913,-130.29850971666679,-114.43584494145284,-119.64600058296377,0.8782590467864353,-97.00915125011107,-112.33720169705707,-110.95090711240934,-119.57917143201612,-126.24140468094328,-112.08491697390014,-116.02329904042523,0.8878617697353606,-102.1998240116508,-115.10636073019732,-114.31398320197928,-123.04920557245565,-128.6254007850834,-114.95049881335464,-119.84485992532782,0.893684280956467,-103.75875247590916,-115.07500625990816,-113.52747267147663,-123.45961824068549,-130.12647858419578,-114.84101622360559,-121.38880339526925,0.8825338045961182,-106.27253991890211,-114.674622027573,-112.12263023192165,-123.6808865033768,-130.59053166475232,-113.50138320791449,-120.46857551591462,0.869139452615841,-106.57097444129383,-112.45847675736248,-112.08163688447344,-122.63194918958186,-128.82631455937914,-112.61173241892364,-120.12941035450007,0.8741361018056462,-103.95842829755192,-115.7048099834405,-113.21214739522368,-120.0772930661758,-125.6155780838262,-114.7551121662159,-119.65684238584404,0.9135420456341581,-110.72176822040059,-118.93840471442557,-116.82907090033282,-127.14062554886583,-133.2663842780135,-117.75298926345674,-123.58697760994094,0.8835910863898467,-113.64101032881541,-117.32875454371963,-115.76166928785487,-127.04802431075477,-134.44592237104058,-116.44728527207693,-122.0745030096489,0.8661273114011486,-110.83212343916765,-113.57245970827596,-112.94846849452843,-123.76116707078205,-129.56230827308735,-113.41462682646574,-119.16322323384787,0.8753674455028537,-96.21443716687577,-113.4662695693607,-112.13391260669032,-122.60896561146986,-128.76805887154728,-112.9261177373555,-117.65317332377964,0.876973053154471,-111.45844593199519,-118.66076381859627,-116.33871091405356,-127.19102977776517,-134.34874739109895,-117.4109180037291,-122.7854716859172,0.8739264063395946,-111.22177203541378,-116.8275159728862,-116.28136677857039,-122.97942995654108,-124.70926329197833,-116.77460334799328,-121.59816334855526,0.9363747348470189,-105.78578309614011,-113.69454214323002,-113.34306382560828,-123.92011782215644,-131.6647612765962,-113.7738246492838,-120.80665420897853,0.864117502254625,-105.74132958767437,-116.2821137299696,-113.23003322645839,-123.79627320474329,-132.5690050164501,-114.65268213194496,-118.51801985638394,0.8648528524274437,-97.38495816345377,-114.75224225778113,-113.57418886824252,-124.20716848419025,-130.23234451430386,-114.45844079060258,-120.85718697369087,0.87887875487054,-0.006225755811670964,-0.0011658922118596951,-0.007391648023530659,0.0008953136310879321,0.015107846410025369,0.016003160041113303,13,0
-103.25149884530352,-113.3676838500841,-117.7857970120932,-123.25533021143052,-130.05847856587326,-116.13423505911126,-120.34379548722876,0.8929385945437651,-103.23908873320983,-112.95032541493322,-116.87551188808862,-122.43276128584594,-131.20604684303407,-115.63500252875812,-118.98775693842146,0.8813237294398171,-96.71478781234163,-109.13547071914616,-113.86211728601023,-120.14648950149378,-126.92277108273456,-112.29065440519722,-116.75364026320855,0.8847163786866944,-101.8616218119869,-112.52830678925028,-117.81766241995159,-122.05979103609194,-129.56724960714197,-115.87327262838441,-118.68644165439906,0.8943098891094874,-107.64137654576744,-114.22484881727746,-118.90599061575588,-123.20970796543934,-131.3087239955857,-117.27430678990416,-120.7455134201023,0.8931189278318374,-105.76460745108287,-114.93857646874017,-116.66543878611142,-123.87881787386608,-132.91381220005172,-116.29555439177726,-120.85049648073463,0.8749696699447463,-102.9056717477706,-113.11656210800795,-116.03731883822749,-123.10200134734856,-129.55883148790127,-115.04980944638581,-121.40597521723537,0.888012095548497,-105.08949133742657,-113.56172447267068,-118.71811215950494,-120.18158637583392,-124.90806781829613,-116.46952338238245,-118.57563674421056,0.932441958447478,-108.48520601906296,-117.97144261826513,-122.09229739363806,-126.16067434254899,-133.6322483665573,-120.13796562375043,-122.31513664447613,0.8990192643785231,-107.41007084351801,-116.16159282961549,-118.95583123745045,-126.96819722922103,-134.26994707424194,-118.45061278723097,-124.20012702978427,0.8821826132227193,-107.2054988386993,-112.76727490227013,-115.6109958041151,-124.29173937783895,-131.41391985660758,-114.79455569307123,-120.98931665795398,0.8735342178235717,-95.89007936851141,-113.15962043129832,-115.91520172869129,-121.22516608757802,-127.4661295687562,-115.01011060552644,-118.205029643979,0.9022797742006367,-99.10932396737535,-114.36004056975594,-119.70166484144387,-125.268632475216,-132.7437885667046,-117.65543427434278,-122.05021600392648,0.8863347622116433,-105.11322918216806,-112.84126761496618,-118.75901268562383,-120.84236743170523,-122.25807649809856,-116.08703443221323,-119.81539537900379,0.9495244629831772,-99.7883163298694,-111.5939743445789,-116.24296412062512,-124.1830296759664,-130.9738331875759,-114.46188669970853,-120.51149020346651,0.8739294247865559,-103.27419702432502,-112.99355390332785,-119.37070205209628,-123.5887396263371,-131.2940773940831,-116.77163670568946,-120.21442286324873,0.88938997876649,-102.53141451174113,-111.57835959724169,-119.04193033615695,-124.54558175055688,-130.49813350660136,-115.89040055145773,-121.1941326515094,0.888061747991172,-0.009511135689643608,-0.013259626097634524,-0.022770761787278132,0.0027079764475259564,0.016812275896906457,0.019520252344432415,13,0
-105.13533786241186,-115.50025577742485,-118.78399764990382,-125.19682701849145,-131.22316687116037,-117.69488677912861,-122.72690957596753,0.8969063130040573,-102.18335191489689,-113.81917738164668,-118.98507146091956,-124.51680886436304,-131.66003135651235,-117.14089458998473,-121.223408238819,0.8897225177836063,-99.03852808470478,-111.2870332430684,-114.69799426876239,-121.30448627403848,-126.59066372964783,-113.8562790391967,-119.62179984571529,0.8994050247050825,-98.35348217038097,-111.7317509213243,-116.53170601005031,-123.16556791283638,-128.46095133840782,-114.97514068390046,-120.70384919015117,0.8950201558216601,-107.61375937501137,-115.49029688210214,-121.19869571482806,-124.51577155360032,-131.40929046897278,-119.02518837695672,-121.16096370127269,0.9057593108689671,-106.08916899756483,-118.49229687509226,-118.48796772066217,-124.81047006588912,-132.6744352121045,-118.4426939138111,-121.61082366974532,0.8927318493910199,-96.62263722796172,-112.43375648299696,-117.66786801951437,-123.66714143322893,-129.71018567833434,-115.69175187090221,-120.06820008860299,0.891924957672976,-103.26112977295446,-113.62034753957384,-119.27004415143313,-121.42624266448581,-124.96729493124995,-117.25561624767963,-121.45047218318301,0.9382904248042429,-111.65562008402034,-120.41130333429606,-120.82678056749668,-127.51163300971909,-133.51312538693588,-120.9371988152251,-125.99389501643624,0.9058075635989769,-111.51479090065175,-121.36925224206702,-121.27661535170981,-128.47005153050893,-134.8180798191531,-121.45627383840123,-126.05077780949448,0.9008901031769954,-110.67777056322723,-117.3347221423229,-119.27803916250362,-126.1859331766154,-131.78591817636078,-118.92033565199138,-123.19242342905378,0.90237513459403,-100.09255840575133,-113.42016834685171,-118.05095928049734,-124.51725895577823,-130.59688703804827,-116.48155749592291,-121.55366588244397,0.8919167993796592,-112.38678210426458,-117.22136976095085,-119.08883120380563,-127.76140136117978,-135.34443612962363,-118.59298725174443,-124.9518009299651,0.8762309751555963,-107.05299624401799,-116.53364473189045,-120.74527044527707,-126.85820808161577,-133.61194914077836,-119.10946391228156,-124.92976414096675,0.8914581718045557,-103.85634342980275,-115.99313752753146,-118.99162152236114,-126.67514631740005,-132.54669482976715,-118.09967327785496,-124.86091578021744,0.8910042866744672,-105.69350775014411,-114.29375312777559,-117.39610372459418,-125.89382284113788,-131.94589150183887,-116.32122947616391,-122.3463681540064,0.8815828075597396,-106.07297877323465,-114.55208189930715,-118.05039379404592,-125.86928825346595,-129.93483520083038,-116.81190402404066,-123.91142515540685,0.8990037494063343,-0.011309465263157889,3.351530207002209e-05,-0.011275949961087868,0.0011819795235936672,0.019222360515841534,0.0204043400394352,13,0
-100.61808302258756,-112.27028096339863,-115.55681160463641,-124.50586367791487,-130.43580264341654,-114.91779603822104,-121.68300919182644,0.8810295464074508,-100.43782226779621,-110.86559920461507,-113.81277113791324,-123.55523698245909,-130.68197529082823,-113.47061579617713,-119.49686087934835,0.8682958422051104,-92.94063217001788,-109.06588177291478,-111.86706962516355,-120.47291960049381,-126.03921482248846,-111.10366098759883,-117.07887591999813,0.8815007388301759,-93.93546783952092,-102.4797385031316,-111.7055238797338,-119.57507802500665,-126.0775309184913,-108.99150717750643,-115.56011489446306,0.8644800257705639,-106.09537777844612,-113.85025035891404,-116.34395731427757,-123.36687985756474,-131.45251882962674,-115.92717952479656,-119.31726000489559,0.8818939382595453,-101.58335296835003,-114.17665388134047,-115.54986781246761,-124.04501933736131,-132.87919364652586,-115.22996392957349,-119.2312990835861,0.8671783803572636,-102.21522687879393,-112.0144797422983,-115.00266456772911,-123.5080425246695,-128.7819790646376,-114.55657076829772,-120.42917900617687,0.8895388283387078,-99.20877239684017,-111.5915916751829,-116.67679167034589,-122.32496875805049,-124.05596926801014,-115.36115147667834,-121.97164913333967,0.9299121368956657,-106.35663571086161,-117.95168746106218,-117.88096696221972,-127.46882429976613,-134.23017133403562,-118.83288605792379,-125.49533877750844,0.8852919196698689,-105.35591969329988,-116.48219046699467,-117.63151250221225,-127.9061821353995,-135.53437223236875,-117.56592923181562,-124.91151272590115,0.867425194770911,-103.52191266878262,-112.3020283861141,-115.67443663097832,-125.76824081133094,-131.69337202293062,-115.2252063991611,-122.99470689624121,0.8749506875645795,-95.49233486307577,-111.34790577836299,-114.52837488405717,-123.9765380111706,-130.29924442267676,-113.7454497541246,-122.15344835903812,0.8729555590141918,-102.76187235850747,-115.64024631806649,-116.16575681864599,-127.86906952152955,-134.04116641665573,-116.98238286870287,-125.48298611333624,0.872734742587012,-102.47091722177363,-114.15604252244094,-118.30621742758808,-126.68686387394519,-130.17348315472756,-116.97350803783519,-123.54424114434693,0.8985970506665897,-99.8998681129394,-111.63793482553422,-115.04910270979134,-126.03082608006474,-131.15178666420942,-114.50693836361751,-123.2974879558333,0.8730871402979201,-98.1512430961715,-111.9643935742787,-115.40848481883693,-124.39157143034029,-130.75668185846627,-114.69394977791255,-122.56902618548835,0.8771555544829415,-99.46197233622362,-110.7978709431265,-117.30548691222212,-125.14755759748535,-129.12418234798542,-115.51783645981482,-123.39415998972127,0.8946258892737694,-0.003424366739286576,-0.00431396488280092,-0.0077383316220874954,0.0027409331645051197,0.013878945172489743,0.016619878336994864,13,0
